ID,specifypositive_April2020,specifypositive_May2020,specifypositive_Nov2020,specifypositive_April2021
159d25c6,Spending more time at home and thriving from one on one home learning,"Personal hygiene awareness, appreciation of others, IT skills!",Closeness to parents and sibling,Able to spend more time as a family and be involved in their education which we all enjoyed.
15ab6084,,,,
15cc0020,"Dad is mostly working from home, so the 3 of us are together all of the time and he says he's really enjoyed that.","Learning new mechanical skills with his Dad ... learning more cooking skills with me although we usually spend a good amount of time as a family, we are now spending all time and have had a lot of fun ... talking on the phone and texting more with his grandparents and adult sister","Dad was work from home for 2 months and he enjoyed having mom and dad both around all of the time, we are spending a lot more time together as a family due to staying home more overall","He really enjoyed when his Dad, a public school employee, got to work from home last year for several weeks."
1642cf2b,,,,
16e7438f,,,,
174cc1b5,Spending more time with his siblings and parent,More time with parents and sibling,,more time with family
17543abb,,,,More time at home with parents
17681dd8,,,,
17e366d6,,,,
183ac8a8,,,No wrap around care - parents able to drop off and pick up from school,More time with family
185e4e8f,,We are getting more exercise together as a family,,We've been able to spend more time together as a family
188d24bb,Feels she is away from bullies at school,More family time,More family time.,
18906566,more family time,more family time with parents and brother,more time spent with family,possibly more family time because he was not doing sporting activities
18db7502,We play more together as a family.,Closer to her sibiling,Spend more time with sibling and parents,
18de9c74,"Spending more time outdoors, having fun with siblings and learning new skills around the house eg. baking",More creative play and appreciation for home,More time together as a family,"Playing with their siblings, time with parents they wouldn't have usually had"
18e72a1b,,,,
1901560e,,,,
19f6289e,,,,
1a19ed2b,Learning outside of the classroom and playing outside more,Creative abilities and free play,,
1aa4cfdb,He is outside more and more active.,We are more active.,,
1ac4f617,,,,
1b782f6c,,,,
1bb547b3,"I'm teaching my child more things about history and science that isn't being taught in schools. We engage in home projects and he's learning how to use tools, how things work, and so on.",My child is learning how to shoot film. We are also having quality father son time.,Learning how to shoot film in his free time at home.,My child learned video editing. My child learned how to do stop motion films. My child started learning how to code.
1bd7e073,Ahes emjoying being at home which worries me about when she has to go back to school,Shes enjoying spending more time with me ,More relaxed,Sge had more timr at home to start doing more art whoch is something she is enjoying
1c1b3a1f,spending more time with family,More time for his hobbies without school,,Home learning worked well.
1c1ff545,,,,
1cb86553,,,,More time with parents at home.
1cdecb3c,,More time to relax - not attend school,,
1d9cd0e5,More time home with family,More time with family,"More time with parent working from home, more time with grandmother",More time with family
1e3c4697,,,,
1e4a0e4e,,,,
1eccd452,Learning to ride a bike,More time together as a family,Me being at home more,Time with parents increased
1ed83a9a,He is home all the time,,,I have been working from home for a year and have been more available to him. 
1f19b818,,,We notices the changes in him which led to diagnosis of autism,
1f23df12,Extra Time at home,more time with Mum,,More time at home with Mum
1f3e26a6,,More family time,,
1f4d9545,more family time,More family time,family time,
202672bd,,,,
20b282d5,Having parents home,Seeing more of Mum and dad,,Deaths in the family
20be92b9,Lots of time spent in the garden,Her reading and writing has improved,"More time at home, better focus on reading and writing","We did a lot of work in the garden during the first lockdown - it's now a lovely space for our children to play in and for us to enjoy. We also had a lot of quality family time, which was great, particularly for my husband who missed out on a lot beforehand"
20c63171,,,,
20e4afcd,,,,
2131febb,,,,
21d78a50,Quality time at home and more time outside (in the garden),Family time,"Resilience,  family time, home learning","Spending more time as a family, more confident in IT use through home learning"
21f47f4d,,,,
221c01e8,More family time,more family time,Closer family unit,more time together as a family
221f14bb,,,Moved out of shared home,COVID gave an extra push to move out of the home we were staying in.
22522c79,More time spent together ,More time with family ,Spent more time as a family ,"spending more time at home with family, more time to do activities together"
226506de,"Reading more, enjoying the sunshine",Spending more time with family,,
2282227a,"She  is autistic, so she has enjoyed the less frequent contact with other people",She has spent more time on her hobbies and interests and has become more creative,,
22e11449,,,,
2355faeb,,,,
237a31cf,,,,
23a04997,Not able to go to school,Spending more time with my kids,SPENDING MORE TIME AS A FAMILY,she got to spend more time with me
241c11ef,Spending more time with parents,More time with parents ,More quality time with parents,More time with her family 
244c5fad,Bonding more with parents,More time together.,"When classes were cancelled, we had more time together",More time with me which gave us more time to grow together.
249a448b,,,,
249f7de3,,,,
24b08a71,He likes being homeschooled.,He likes homeschooling.,Homeschool can target his educational needs more effectively than public school.,
252fc0a8,personal hygiene,,,
25cfac54,,,,more time with family
25dab8db,,,speaking more,My son started speaking
2610b9f5,,,,
264d83c3,she is learning new skills.,she is happy learning at home,,more time with the family
269da6ca,Spending time with family and becoming more independent,,closer to family,
270d6c4a,,,,
272ae99e,,,More bonding time with parents and time to learn and explore,
273938d6,,,,
273e1abc,,,,
274ed77f,,,,
2753859b,,,,
27d91d24,,,More time with family,
28108fa1,He's much more focused on school work due to having no social distractions.,,He spends more time with me instead of hiding in his room.,He's much more adept at being social online and navigating online learning spaces
28a5d9b5,,New friendships online school,FAMILY TIME AND IT DEVELOPMENT,Family time
28a8039b,,,,
28b93bfb,,washing hands more,,WE have been blessed through it all. 
28c1707f,More caring to others,,,More family time 
29094e07,,,,
292f3359,Father working at home,More time with dad,,Dad working from home more
295b3f09,,,family time,more family time at home
29738d0c,Talking to family more,,,More family time
2a717801,,,They value our time at home.,They value time with their friends and family more.
2a8ee968,,keeping her self and house cllean,,
2af446fc,No school,More time as a family,More family time,More time with family
2b545eae,,,,
2bece59f,,spending more time with parents,,More time with family to learn other life skills
2bf32ed9,,,,
2c1068f2,He cares more about the community.,thinking more about those in need,More time for hobbies,"More family time, better nutrition, more time for other interests"
2d2d2d91,More time as a family,More time with her immediate family,More confident in herself. Physically stronger. ,More family time
2d40a9d3,Increased bond with mother,Closer bond with parents,increased confidence,
2d5bff51,,More time with both parents,More parent time,
2ddd903f,,,,
2e3da6e2,We have been closer as a family,We have been spending more time together as a family and learned to be content,"More time with family, more time outside",Family closeness
2e47c824,"More sleep per night, a chance to take responsibility for her own learning which she is managing very well",A little more sleep daily,more sleep and more relaxed mornings,more sleep and more relaxed morning routine
2e4c756e,,More time at home with the family,,
2e592140,,The community has gotten together to help those in need.,Stronger bonds in our family,
2eb08a29,,,More appreciation of local wildlife,Spending more time together
2ebacb6e,he wants to loss weight so hes exercising now,,,It has caused me to have to work overtime; overtime means more money to spoil my kid with.
2ef34545,Spending more time together at home,,More saving,
2f39f53f,,"less anxiety about school, can complete tasks in his own time so feels less pressurised","He felt more settled and less anxious during the day because he wasn't getting overstimulated by lots of noises, people everywhere and so on. ","ability to self prioritise work, work under own steam, be more organised"
2f5850be,,,,We have enjoyed spending time together as a family.
2f969ca2,,,,She's gained responsibility in maintaining her at-home studies.
2faca60a,"he is taking safety in a better way, he is being more careful",more focused,more quality time with family members,one on one time with myself
305aafee,He's reading books more. He's wanting to learn and do creative things. He's washing his hands more. He's playing in our yard more (no neighbors around of course),"My children seem to be sharing more, less bickering",He is much closer with us. And he's had more time to develop interest in other skills like learning a new language.,we all talk more about our feelings and other personal things. we seem to have grown closer as a family
305dbb2e,She is enjoyimg being home and learning at home,More time with ummediate family doing activities at home and not running from.school to clubs etc,Parents working from home more and therefore able to pick her up from.school ourselves,More family time which she has enjoyed
3095025b,,,,
30b4004b,No school,Handling things very well now,,
30f1c480,"I am home more with him, and he does not have the stress that he usually has at school.",,,We got to spend more time together. That would never have happened if it weren't for covid.
3117a834,,,,
318933fe,,,,"we have come closer as a family, she has had more time to read and has improved drastically at it"
31e7643f,More quality time spent with my family,Spending more time together as a family,"More family time, family walks",Spent more quality time with family and bought a puppy
3204fa5d,,,,My husband no longer lives with us
324f643c,being more aware of what is going on in the world,more attentive to the world around us,,
32b350dd,,,,
32e9b9e1,,,,Extra family time
33c8cf34,,,,
343cec6f,Kept away from some negative influences at school,She seems much more relaxed not going to school,,
34579846,,,,enjoying time with family at home doing basic things like baking and growing veg
347fb114,,,More family time,More quality time together
34bc9c7a,,,,
34ff3dab,increased time with the family now that the schools have closed,"increased time and bonding with family, and more parental insight and involvement in his schoolwork",Increased time spent with his sibling and family during lockdown.,Improved quality family time. Sibling bonding. Increased involvement by parents in schooling.
35694822,More time with dad,,More family time,
3587f4f0,,,,
35b7862a,,,,
363fa0d8,Being at home with baby brother,more time with family,"More time with family, less busyness",More time with family at home
36779c8e,,,"Spend more time with immediate family, learning new things on a digital platform",He's learned how to work more independently with school work.
36e72217,,,,
3702409c,,,,
37053bc4,,,,
37691b1a,She is engaging with us more and not as connected to her social media.,My daughter is communication more often with her grandparents due to zoom sessions.,Spending more quality time with siblings,extra time with family.
3817be53,,,,
3943faca,,More time with father,More time with father,
397d3e2b,Spending more time with family,More time together,,We have had more time together 
3a3b9187,,He might be a bit more focused and has more time to finish assignments.,Online suited him from March until June.,I think he enjoys taking classes from home and getting up later.
3a51ad68,,,,we talk a lot more
3a87a031,,,Appreciates things more,
3acebd1a,Spending more quality time as a family,More time as a family,,
3b1ca801,"Solitary existance,dedicated to schoolwork",Respect for the current situation and being very disciplined,More focused,We got to spend a lot more time together as a family
3b36a67a,,,,
3b58151e,Quality family time,Spending more quality time as a family. Enjoying our daily walk etc,Spending time as a family,He has remained so positive and his true grit and determination has shone through.
3b8e0033,,More time with parents,More time with parents,More time with family
3ba0fb65,more creative home based activity,More time at home is welcome,more time with parents,more family time
3c2d18be,,,,
3c6cece9,"Time with entire family, more of it",,more time with family,Learning to adapt
3ca76235,,,,"more playing time, increase knowledge of IT, time to explore and experiment"
3d061f76,"We're an autistic household, the quarantine has reduced the pressure related to social expectations and gatherings.  It's a negative for everyone else, but for us, it's generally improved the emotional well being of our family.  Obviously this is only a benefit short term as social development is very important.  Our son is home educated and the number of online programs increased alongside a better acceptance and understanding of home schooling from others.  We have always received our shopping through a veg box scheme and since the veg can no longer be chosen the boxes contain some more unusual items.  This has leed to an inventiveness and love of cooking in my son.  He has practised violin more and more children like him have been playing Minecraft online which has given him the kind of social interaction he actually enjoys.  I was very sick and couldn't breathe properly.  He used this time to research the virus, lung problems and how best to help me.  This led his to a greater commitment to his dreams of working in the medical profession in the future and also helped him define emotional connections in a way he previously struggled with.","Being Autistic, he was not so keen on socialising generally and prefers socialising (with supervision) playing games like Minecraft online.  Social distancing and isolation has led to a rise in online gaming and a greater number of children wishing to socialise in a way he feels comfortable with.  My son hopes to work in the medical field when he grows up, the increased discussion and the raising of social support for the NHS has given him a greater hope for the future.  Now all children have been exposed to home education there has been a huge increase in both available programs and study material online and also fewer people assuming he just plays all day.  Hes very scholarly and this assumption has always distressed him.",my son is autistic and prefers personal space and less busy environments.  He has found it much easier to leave the house knowing that personal space would be respected.  He also has had to attend fewer social engagements and this is ideal for him.,My son is autistic and prefers to engage socially online or through playing games.  The lack of social pressure has been pleasant for him.  He has enjoyed the quieter streets as he has SPD.
3d41ef7c,he's exercising more,,,Saved some money up
3d43e775,,,,
3d9b7fbc,More exercise and healthier diet,Increased sleep. Better diet and more outside time,Been at home spending more time with parent who normally work full time away from home.,More family time. Plays better with sibling now.
3db6945f,,,,
3dbbe70a,,more bonding,,
3dd9eb49,PLaying more out in the garden,more time spent with parents an sibling,More time with family,More time with family
3de33292,,,,
3de5afa6,,Gets more physical excersize,I believe he appreciates what he has more and that he should make the most of his life as we never know what could happen in the future,Cooking more at home
3eb4082e,,Spending more time with our household family,,
3f23f4f1,,spend more time with mom and dad,,
3f280e0b,,,,
3f3377d5,,He is getting more school work turned in due to doing it online.,,
3f615918,,,,
3f85068b,spends more time outdoors,He became a dog walker in our neighborhood,,
3f877073,,,,
3fac4830,,,,
4034203f,,Spending more time together as a family,,
405ceb0d,,,,
40819679,,more time to spend with family,"His grades are improving, he has a better understanding of the content in school, there are less distractions to learning, and he is happier",better grades in school
40ad416d,Spend more time as a family,,Me and his dad are both working from home so we are able to take him and pick him up from school I think he likes that the days are shorter before he'd go to both breakfast and after school club,
4111f91a,,,,
4179dda0,,,,
417ca6f9,Better sleep,Improved sleep,,More time with family
41925afe,spending time as a family,"walking the dog daily, learning new skills at home, helping with chores and baking/cooking","spending time as a family, his school work has progressed becauseof the work we put in at home, learnt the value of spending time outdoors/walking the dog","his Dad is working from home all the time, so he gets to see him when not in school, we have been doing more family things together, getting out and walking the dog and we have found ways to be creative at home."
41a213e0,,,,Siblings got closer than before
421d5b9e,"We get to know each and understand other better, we learn things that are interesting, and my daughter is more likely to appreciate little things when we go out (e.g. a flower in the communal garden, the fresh air etc).",We enjoy each other's company more and love spending an hour outdoors together when possible.,Having more time to play and relax,"Indirectly, the long period of being together showed me that i wasn't the great parent I thought I was, which prompted me to work on my mental health, thus impacting my relationship with my child. I guess a less shouty and more understanding parent is a positive change."
4264d3af,More time with family,More time with family,,Happy at home
43052eda,,Spending more time together with his family,More quality time with the family,They have enjoyed the time at home with their family 
43245cc8,,,,
432aa42c,,,,
43a08368,,,,
43e9fa69,,,,
43f232fc,,,,
44da73ca,Quality time with my children,Closer relationship with sibling and more quality family time,More friendships emerged  as parents contacting beach other and my child's digital skills,
454d97dc,Please not to be in school,Daily family walks for exercise,,
45706e4f,More family time,"Spending more time as a family, time to spend on activities usually restricted to the weekend",More family time,More family time
457a6060,Regular walks,Spent more family time,,
45816dc6,,More quality family time in lockdown,,More family time
45d2c8ee,,Homework ethic has improved,Better work ethic towards homework,He was moved up a grade at school whilst homeschooling
45f017b6,I have more time to spend with my family,Spend more time with the family,Spend more time with the family,Spend more time with family.
464261b2,,,,
46517bb0,,,,She has matured quite a bit
46584e72,More 1:1wirh parents,,,
469c956f,,More family time,more family time,I think we've strengthened family bonds during lockdown.
46cd06b6,more time with family,More family time,more family time,
46d17474,not having to go to school,reduced school anxiety,she's developed good ways of working independently,"She's welcomed some time out of physical school, although the all or nothing element has been tricky"
4769f8f3,,,Spending more time with family at home,
477f5d25,,,,
47db210e,,,,
47dc75ea,more intimacy with family,"closer to family, more loving",We are closer and more intimate and talk way more,We have become closer and more loving as a family.
48151b77,"Stay home, washing hands all the time","Washing hands always, staying indoor more",Personal Hygiene,
48545883,,,,
4871fde6,,,,Got out more exercise
48e8dff1,Spending a little more time at home with family.,,,Spending more time with family and learning to enjoy simpler activities like going for a walk
491c3d2b,Spending more time with family,,More family time ,Spending more time with family 
49966c00,,,,
4a03bbb4,Time together,More time at home,More relaxed at home,
4a9f9789,,,,
4c3d1512,More time with family,"More family time, more free time",,More family time
4d503560,Increased closeness with younger sister,,More time with siblings and parents,"The family has been able to spend more time together, and both parents have been working from home, allowing for more investment in the home"
4d99c932,,,He got to spend a lot of time with his father which helped improve their relationship and has resulted in more positive behaviour being exhibited,Improved communication for the family
4e24134b,,,,Her dad and I are with her all the time.
4e46ef8f,,Spending more family time together,Spent lot of time woth her newborn brother,
4e4f2811,We're not having to rush to go anywhere.  We've got time to spend together.,,more quality time with parent,more time at home with family
4f196917,,,,
4f23d240,Doing school from home allows me to make sure he is using his time wisely and that he is getting his work done,Doing school at home is good for his grades and work completion rate,More family quality time,More home time and more intentional use of some of our time
4f43b00f,being cleaner with washing hands more often than before,Becoming more respectful and taking initiative to help around the house,,
4f48c4b4,,More family time,,"We have been able to spend quality time together, learning together."
50ed5ac5,,to not do the usual activities. He stays at home the most of the time.,,
50ee23aa,,Outside exercise more than usual,"Better relationships with family, enjoys online school",
51360fce,,Spending more time together as a family,,More family time
5192edd5,,,,
5199e7ca,They go running almost every day for exercise,Doing more outdoor exercise (running),,Doing more exercise
522bc83f,,,,
527afb90,easier to teach one on one.,,He likes to school from home.,
52ebb2d4,,,"Both parents working from home, got so bored during lockdown he has returned to school with great enthusiasm",parents working from home so around more.  6 months out of school in 2020 have made him appreciate it more.
52ed3607,More family time together,More family time,"closer with family , more family time",more time with family
538b2373,more time to play outdoors in the garden,,more time spent with siblings,
53ac3278,More time with parents.,Spending more time with family and friends,"More time with family, sees his dad more often",More time with parents
53d98d8f,,,,
53eac56f,,,,
53f886c7,,I'm able to help my child practice areas of school work that she previously struggled with,He has learnt the value of patience. ,I have been able to understand their true progress inschool and help alot using the government resource - Oak National Academy
54513b65,more practical skills,"Spending more time with family, learning more practical skills",,
54615985,,,,
54f37682,,,,They have been able to spend more time with close family.
54fa12e6,,,"As I am now working from home, I am able to collect them directly from school rather than from an after-school club.","Increased flexibility in my work, caused by working from home, has benefited my family."
55623be1,Eating more healthily and knowing we can't just go out to get food,Wanting to cook more and less stress with school work - able to work at own pace as at home,,
55c8ff0f,,,,
5649df2c,,,,
564a2463,,,He is less distracted learning remotely from home.,Learning from home has been more productive for him since there are less distractions.
5673ed13,,,,
56ca64b9,,,,"My daughter felt social anxiety at school and was unhappy with her peers in the theater department. She had actually threatened to quit school in the past. She  just told me last night that this school year was a blessing, because if she had not been able to attend online she might not graduate."
57514415,,,,
57ef8462,,,,
580f7d0c,I am able to spend more time teaching my son language skills etc..,,,I was working from home so was able to spend more time with the family.
580fd696,,Eating Lunch at the table with family every day and going for a family walk regularly,more family time,We have been going out walking more
5818d08d,,,,Family bonds
5890f1c9,Less anxiety due to school.,Less anxiety related to school.,More time with family,More time at home with the family due to remote education.  A reduction in his anxiety and no more lice.
58c55563,we are spending a lot more time together as we are all stuck home for a couple months,"home with us more, lots of family time.",we are now homeschooling,"more time for homeschool, excelling at a faster rate than public school"
5931a0fa,,,,
59891c05,,very keen to work in the garden,,
59c64076,,,,
59e6138e,more time with family,AT HOME MORE,together more,MORE FAMILY TIME
5a17f31f,,,,
5b02d5d7,,,,"Closer to family, more aware of the news"
5b586b16,Quality time with family,Quality time with sibling and mum,Quality family time,
5b979b7c,Mum at home,I'm furloughed so home more,"I was furloughed, so at home more for her.",Saved some money
5bb4320d,,,More family time,More family time
5bd6114d,,,spending more time at home. cooking from scratch,"more time with family and reading book, watching movies etc"
5c599e44,,,,
5c5ad12a,,More focus on home life,,
5ca63dfb,More time with family.,"Daily walks, local community leaving free toys out for kids to collect.",,My child has taken to reading more and socialising through FaceTime with friends outside of school hours.
5cb6ff1b,She spends more time with me,More time together,,Better bond with her sisters.
5ce309d1,,Learning to play alone,,
5d0948db,,,,he has gained a few online friends
5d222665,More family time and interaction with her sister ,Time with family,,
5d565358,,,,
5d7f32f0,He's finally potty trained.  He's also been happy to have more quality time with me,Better quality time with my kids,,more time with loved ones
5d84af81,,,,
5e7a4baa,,,,
5ea1c728,since the schools are closed i can spend more time with my child,We get to spend more time together,We were able to spend more quality time together,We spend more quality time together as a family
5f51a10e,family time,More time with family,Spending more quality time with family,More quality time with family
5f9d0a82,,More family time,More time with parents ,
606849b7,,,,
6077defc,,,,
60d2612b,,,,
60d98811,More talking and quality family time,More time with family she seems happier,,positive attitude towards school
6131127c,"More focussed on schoolwork, now that he can't go out with friends.  Also spending more time downstairs with us as a family","More quality time with immediate family, games nights, film nights, etc. much more frequent.  Also prefers home-learning to school","My child has thrived on the online learning.  The content offered by the school has been barely adequate, given he's doing his GCSEs this year, but he's proactively sought out other sources of education and really feels happy with his progress.  So much so, that he's asking me to home-school him, moving forward","Ben has benefitted from home-schooling, which he's been asking us to provide for years.  He's good at self-guided learning and teaches himself subjects that teachers at school haven't explained in a way he understands.  Also, we've spent more time as a family playing board games, card games, etc., so more quality time as a family.  We've also used the time to get the kids more skilled in running a home, so both children now perform a small variety of chores, which will help them to run their own homes, when they reach that age/go to Uni"
614ccd48,"She has been staying with her grandmother and cousin so we dont expose her to the virus, we both are working non stop. She loves being with them.",I get to spend more time with her.,,
6150c267,He prefers being home schooled.,Being homeschooled,Spent more time at home together.,More time with family
61736c51,,,She has a stronger bond with some family members,
618786eb,,,,
618d92d4,school shutdown now studies online,,,He had less stress due to social pressures at school
62bd75ad,,,,Home relationships
62d09040,,,,
632ec8e7,,,more family time,taking time out to relax and enjoying the outside
6341840d,,More time at home,more time for sports from home,
63b2051f,I am home more with her and she gets to watch more TV,we work together more,we have more time together,she got a lot of time with me
6460517c,more time with father who is working from home,More time with father,more time with father who now works from home,
64fa9c54,,,,family time  spending time with one another playing games 
656a2e5e,,,,
65775a9a,,With the family more,"Being together as a family, running more",More time as a family
658552be,,,,
65cf0169,,Focusing on her mental health,,
66295252,Time with family,"Hobbies, family time together",Music practice,More family time
66671e30,,,,
66887bc7,,,,
6697552d,"More family time, more time at home, time to slow down",,"He has gotten plenty of family time, also he learned how to play basketball during the pandemic",
66cfed83,,We've had a lot of one on one learning time and he now knows all his letters and how to count to 40.,,Financially we are doing even better than we were before so we are able to spend money on things comfortably. It has also taught my son a little bit more about responsibility (wearing his mask when it's required) and has taught him about germs and bodily autonomy.
66d1d660,Lots of hand washing,More had washing and wearing a mask in pubic,Better hand washing and wearing a mask.  ,He had adapted well to hand washing often and wearing a mask in public
66f84373,,Getting to spend more time with parents.,Gets to spend more time with her dad. ,
6740df2d,Having homeschooling,More family time together.,,Family time
67991b45,,,,
67a9056d,,,,More time with family
682b5d1f,More family time,More family time,,More family time
687e89ed,,,,
6885d416,more outdoors time,more outdoor time and learning life skills,,
68926f9a,she no longer has to go to school,,During the lockdown she was less stressed as she didn't have to attend school and could study at her own pace,"during lockdown we enjoyed more time together as a family, and some of the stresses of school were removed so she was happier"
68f96700,,Becoming very creative with drawing and learning a lot of new words,,Business increased
697134a6,Spending more time with family.,,With school closed he got to spend more time with his mother. ,More time with his family whenever his school was closed.
6983e1ea,Doesn't complain about the restrictions and prefers to stay inside.,"Learning to stay indoors, using everything very carefully, entertaining herself and her brother as both parents are self-isolating",She has more understanding of germs now and is always cautious.,It has made them realise that they need to be healthy and eat a healthy diet.
699abd7c,More time with parents,More time with parents,more time with parents,more time with parents
69a58c79,,,She is very computer savy now!,"She's had more time to spend with family, and been able to actually learn better at home. "
69b97f45,He has the opportunity to direct his education a bit more than he was able to in school,He seems to be doing better with homeschooling,,
6a237306,,,,
6a542c17,Extra sleep for school from home,More sleep!,"More time to relax, explore interests, and for physical activity",More free time has really made a positive mental health impact on them!
6a679f9d,,,more family time,More family time
6b909402,"Leaning to sit and listen, how to adapt to changes",Family bonding time,,Nature walking and spending time with both parents
6ba6003f,relaxed with not school,"family time, more relaxed morning and evening routines, less school stress",More time outside in the countryside,
6c5ffa3d,better hygiene practices,,Parents are at home more,Being home with her parents
6c793a17,He likes been off school and being in the house with us,,,
6d3c6d7e,Time as a family,,,More family time
