ID,cms_flag,cw_flag
14f368e0,fluctuating,fluctuating
1506424b,improving,fluctuating
1513dda8,fluctuating,increasing
1548cbd0,NA,NA
159476e8,fluctuating,fluctuating
159d25c6,NA,NA
15ab6084,fluctuating,increasing
15cc0020,NA,NA
1642cf2b,fluctuating,fluctuating
16e7438f,improving,decreasing
174cc1b5,improving,fluctuating
17543abb,improving,decreasing
17681dd8,fluctuating,decreasing
17e366d6,fluctuating,decreasing
183ac8a8,NA,NA
185e4e8f,NA,NA
188d24bb,fluctuating,decreasing
18906566,consistent,fluctuating
18db7502,fluctuating,NA
18de9c74,fluctuating,fluctuating
18e72a1b,depriving,increasing
1901560e,improving,consistent
19f6289e,NA,NA
1a19ed2b,NA,NA
1aa4cfdb,NA,NA
1ac4f617,improving,decreasing
1b782f6c,fluctuating,decreasing
1bb547b3,depriving,fluctuating
1bd7e073,improving,consistent
1c1b3a1f,NA,NA
1c1ff545,improving,consistent
1cb86553,NA,NA
1cdecb3c,NA,NA
1d9cd0e5,fluctuating,consistent
1e3c4697,fluctuating,consistent
1e4a0e4e,consistent,increasing
1eccd452,improving,consistent
1ed83a9a,fluctuating,fluctuating
1f19b818,consistent,fluctuating
1f23df12,improving,consistent
1f3e26a6,improving,fluctuating
1f4d9545,NA,NA
202672bd,NA,NA
20b282d5,improving,decreasing
20be92b9,consistent,fluctuating
20c63171,NA,NA
20e4afcd,improving,decreasing
2131febb,fluctuating,increasing
21d78a50,consistent,fluctuating
21f47f4d,improving,fluctuating
221c01e8,fluctuating,decreasing
221f14bb,fluctuating,decreasing
22522c79,improving,fluctuating
226506de,consistent,consistent
2282227a,NA,NA
22e11449,consistent,increasing
2355faeb,NA,NA
237a31cf,fluctuating,consistent
23a04997,fluctuating,consistent
241c11ef,consistent,fluctuating
244c5fad,depriving,consistent
249a448b,NA,fluctuating
249f7de3,NA,NA
24b08a71,NA,NA
252fc0a8,NA,decreasing
25cfac54,improving,decreasing
25dab8db,NA,NA
2610b9f5,NA,NA
264d83c3,NA,NA
269da6ca,improving,consistent
270d6c4a,improving,decreasing
272ae99e,NA,NA
273938d6,improving,decreasing
273e1abc,fluctuating,decreasing
274ed77f,improving,decreasing
2753859b,NA,NA
27d91d24,fluctuating,decreasing
28108fa1,consistent,decreasing
28a5d9b5,fluctuating,consistent
28a8039b,consistent,fluctuating
28b93bfb,NA,NA
28c1707f,NA,decreasing
29094e07,NA,NA
292f3359,NA,NA
295b3f09,improving,decreasing
29738d0c,NA,NA
2a717801,fluctuating,increasing
2a8ee968,improving,fluctuating
2af446fc,improving,decreasing
2b545eae,fluctuating,consistent
2bece59f,NA,NA
2bf32ed9,NA,NA
2c1068f2,fluctuating,fluctuating
2d2d2d91,consistent,fluctuating
2d40a9d3,NA,NA
2d5bff51,NA,NA
2ddd903f,NA,NA
2e3da6e2,NA,NA
2e47c824,NA,NA
2e4c756e,NA,NA
2e592140,NA,NA
2eb08a29,improving,decreasing
2ebacb6e,NA,NA
2ef34545,NA,NA
2f39f53f,fluctuating,fluctuating
2f5850be,improving,fluctuating
2f969ca2,consistent,fluctuating
2faca60a,NA,NA
305aafee,consistent,decreasing
305dbb2e,NA,NA
3095025b,improving,fluctuating
30b4004b,NA,NA
30f1c480,fluctuating,increasing
3117a834,consistent,decreasing
318933fe,improving,decreasing
31e7643f,NA,NA
3204fa5d,improving,fluctuating
324f643c,NA,NA
32b350dd,NA,fluctuating
32e9b9e1,improving,fluctuating
33c8cf34,fluctuating,consistent
343cec6f,fluctuating,fluctuating
34579846,NA,NA
347fb114,improving,decreasing
34bc9c7a,NA,NA
34ff3dab,NA,NA
35694822,consistent,decreasing
3587f4f0,improving,fluctuating
35b7862a,improving,fluctuating
363fa0d8,depriving,consistent
36779c8e,NA,NA
36e72217,fluctuating,fluctuating
3702409c,NA,NA
37053bc4,improving,decreasing
37691b1a,improving,consistent
3817be53,NA,NA
3943faca,fluctuating,fluctuating
397d3e2b,consistent,decreasing
3a3b9187,NA,NA
3a51ad68,fluctuating,fluctuating
3a87a031,consistent,consistent
3acebd1a,NA,NA
3b1ca801,NA,NA
3b36a67a,fluctuating,fluctuating
3b58151e,NA,NA
3b8e0033,NA,NA
3ba0fb65,consistent,decreasing
3c2d18be,NA,NA
3c6cece9,NA,NA
3ca76235,consistent,fluctuating
3d061f76,fluctuating,decreasing
3d41ef7c,consistent,decreasing
3d43e775,NA,NA
3d9b7fbc,fluctuating,fluctuating
3db6945f,NA,NA
3dbbe70a,improving,fluctuating
3dd9eb49,NA,NA
3de33292,NA,NA
3de5afa6,NA,NA
3eb4082e,fluctuating,fluctuating
3f23f4f1,NA,NA
3f280e0b,fluctuating,fluctuating
3f3377d5,fluctuating,decreasing
3f615918,NA,NA
3f85068b,NA,NA
3f877073,NA,NA
3fac4830,improving,decreasing
4034203f,consistent,fluctuating
405ceb0d,improving,decreasing
40819679,NA,fluctuating
40ad416d,improving,fluctuating
4111f91a,NA,NA
4179dda0,NA,NA
417ca6f9,consistent,consistent
41925afe,improving,fluctuating
41a213e0,NA,NA
421d5b9e,depriving,fluctuating
4264d3af,depriving,increasing
43052eda,consistent,fluctuating
43245cc8,NA,NA
432aa42c,fluctuating,fluctuating
43a08368,improving,consistent
43e9fa69,fluctuating,fluctuating
43f232fc,NA,NA
44da73ca,improving,fluctuating
454d97dc,consistent,consistent
45706e4f,NA,NA
457a6060,NA,NA
45816dc6,consistent,decreasing
45d2c8ee,NA,NA
45f017b6,NA,NA
464261b2,depriving,fluctuating
46517bb0,consistent,decreasing
46584e72,fluctuating,fluctuating
469c956f,improving,fluctuating
46cd06b6,NA,NA
46d17474,NA,NA
4769f8f3,fluctuating,fluctuating
477f5d25,NA,NA
47db210e,NA,NA
47dc75ea,improving,fluctuating
48151b77,improving,decreasing
48545883,NA,NA
4871fde6,fluctuating,consistent
48e8dff1,improving,fluctuating
491c3d2b,NA,NA
49966c00,fluctuating,fluctuating
4a03bbb4,fluctuating,fluctuating
4a9f9789,consistent,decreasing
4c3d1512,fluctuating,fluctuating
4d503560,improving,decreasing
4d99c932,improving,decreasing
4e24134b,NA,NA
4e46ef8f,NA,NA
4e4f2811,fluctuating,fluctuating
4f196917,fluctuating,decreasing
4f23d240,NA,NA
4f43b00f,NA,NA
4f48c4b4,fluctuating,fluctuating
50ed5ac5,fluctuating,increasing
50ee23aa,fluctuating,fluctuating
51360fce,NA,consistent
5192edd5,NA,NA
5199e7ca,fluctuating,decreasing
522bc83f,NA,NA
527afb90,NA,NA
52ebb2d4,NA,NA
52ed3607,consistent,decreasing
538b2373,improving,decreasing
53ac3278,improving,decreasing
53d98d8f,improving,decreasing
53eac56f,fluctuating,fluctuating
53f886c7,NA,NA
54513b65,NA,NA
54615985,NA,NA
54f37682,NA,NA
54fa12e6,consistent,decreasing
55623be1,improving,decreasing
55c8ff0f,NA,NA
5649df2c,NA,NA
564a2463,improving,decreasing
5673ed13,NA,NA
56ca64b9,depriving,fluctuating
57514415,fluctuating,fluctuating
57ef8462,improving,decreasing
580f7d0c,improving,decreasing
580fd696,consistent,decreasing
5818d08d,NA,NA
5890f1c9,depriving,decreasing
58c55563,NA,NA
5931a0fa,NA,NA
59891c05,fluctuating,fluctuating
59c64076,NA,NA
59e6138e,NA,NA
5a17f31f,NA,NA
5b02d5d7,consistent,fluctuating
5b586b16,improving,fluctuating
5b979b7c,improving,decreasing
5bb4320d,NA,increasing
5bd6114d,consistent,decreasing
5c599e44,improving,increasing
5c5ad12a,NA,NA
5ca63dfb,fluctuating,consistent
5cb6ff1b,improving,fluctuating
5ce309d1,fluctuating,fluctuating
5d0948db,improving,decreasing
5d222665,improving,fluctuating
5d565358,improving,consistent
5d7f32f0,NA,NA
5d84af81,NA,NA
5e7a4baa,NA,NA
5ea1c728,NA,NA
5f51a10e,NA,NA
5f9d0a82,consistent,decreasing
606849b7,fluctuating,consistent
6077defc,improving,fluctuating
60d2612b,NA,NA
60d98811,improving,decreasing
6131127c,fluctuating,decreasing
614ccd48,depriving,consistent
6150c267,NA,NA
61736c51,NA,NA
618786eb,fluctuating,fluctuating
618d92d4,improving,consistent
62bd75ad,fluctuating,increasing
62d09040,fluctuating,fluctuating
632ec8e7,fluctuating,decreasing
6341840d,fluctuating,fluctuating
63b2051f,NA,NA
6460517c,depriving,fluctuating
64fa9c54,fluctuating,decreasing
656a2e5e,fluctuating,increasing
65775a9a,fluctuating,fluctuating
658552be,improving,decreasing
65cf0169,NA,NA
66295252,NA,NA
66671e30,NA,NA
66887bc7,fluctuating,fluctuating
6697552d,NA,NA
66cfed83,depriving,increasing
66d1d660,NA,NA
66f84373,improving,fluctuating
6740df2d,fluctuating,fluctuating
67991b45,consistent,increasing
67a9056d,fluctuating,fluctuating
682b5d1f,depriving,fluctuating
687e89ed,fluctuating,consistent
6885d416,depriving,decreasing
68926f9a,NA,NA
68f96700,depriving,fluctuating
697134a6,improving,decreasing
6983e1ea,fluctuating,decreasing
699abd7c,fluctuating,fluctuating
69a58c79,NA,NA
69b97f45,fluctuating,consistent
6a237306,fluctuating,decreasing
6a542c17,consistent,fluctuating
6a679f9d,improving,increasing
6b909402,consistent,consistent
6ba6003f,depriving,fluctuating
6c5ffa3d,consistent,decreasing
6c793a17,NA,NA
6d3c6d7e,NA,decreasing
6d4a9d7a,fluctuating,decreasing
6dacd788,depriving,consistent
6db442c5,fluctuating,consistent
6dc40f47,NA,NA
6e661f23,improving,fluctuating
6e842834,NA,NA
6e9d3d69,NA,NA
6f15ea17,NA,NA
6f47b539,NA,NA
6f7cb5a8,fluctuating,fluctuating
6fd02cd8,fluctuating,fluctuating
6fd04958,improving,decreasing
7033ce3b,NA,NA
706a4ebf,NA,NA
70770a3d,improving,consistent
70ac6873,fluctuating,increasing
72483d08,improving,fluctuating
72b3ab27,fluctuating,fluctuating
72e3bc33,improving,fluctuating
730abe5f,NA,NA
73192269,consistent,consistent
7334e2e9,fluctuating,increasing
734d2edc,NA,NA
738459f7,NA,consistent
738bc8eb,NA,NA
73a155fc,NA,NA
73d33591,improving,consistent
74925a6c,fluctuating,consistent
74a0392d,NA,consistent
74b13cfc,NA,NA
74c27182,fluctuating,fluctuating
75140eea,fluctuating,fluctuating
75472bba,depriving,increasing
754d7c67,NA,NA
756ab423,NA,NA
758fd0aa,NA,NA
760450ca,NA,NA
761030bc,fluctuating,fluctuating
76a405c8,NA,NA
76a4c1f0,fluctuating,fluctuating
76f13e69,fluctuating,fluctuating
771f483d,NA,NA
775f0bd2,NA,NA
779d51aa,NA,NA
77c3ec45,NA,NA
77d62275,improving,consistent
7845251d,consistent,decreasing
784b3343,improving,decreasing
78526a98,fluctuating,fluctuating
7860817a,NA,NA
786c982d,improving,fluctuating
78936be6,NA,NA
78e619ac,fluctuating,decreasing
792efc46,improving,decreasing
794640cc,improving,fluctuating
7964edda,NA,NA
79e8c653,NA,NA
7a039fce,consistent,fluctuating
7a8ca647,NA,NA
7aa096ea,consistent,decreasing
7b1846f0,improving,fluctuating
7b7e7d9b,NA,fluctuating
7b8dcef6,NA,NA
7bfd6391,NA,NA
7c1b8f5d,NA,NA
7d62f70c,fluctuating,consistent
7e09f8ff,consistent,decreasing
7e724930,depriving,decreasing
7e814804,consistent,fluctuating
7ef37ac8,NA,NA
7efff55c,fluctuating,consistent
7f9e12a5,NA,NA
7fb490c4,improving,decreasing
7fc16224,fluctuating,fluctuating
7fc34dc0,NA,NA
7fcc149c,improving,decreasing
7ffb475a,improving,fluctuating
8010a056,fluctuating,increasing
80495dbf,depriving,consistent
808dcf1e,NA,NA
80a6a68b,NA,NA
80f84aae,depriving,decreasing
810dd3b9,fluctuating,fluctuating
81426a81,improving,decreasing
81f4232a,NA,NA
8267c0eb,NA,NA
829e4241,NA,NA
82a6d2cc,NA,NA
8343a327,NA,NA
836a3216,improving,decreasing
8370233c,NA,fluctuating
8371b40f,improving,decreasing
838d9b7b,improving,consistent
841f2047,improving,increasing
84572817,fluctuating,fluctuating
84639469,improving,decreasing
84aca67d,fluctuating,decreasing
84d2989f,NA,NA
850bd5c6,depriving,fluctuating
852213c5,NA,NA
85666fb0,fluctuating,fluctuating
85f9631e,NA,fluctuating
863171cf,improving,decreasing
86c35736,consistent,fluctuating
870b457a,depriving,decreasing
87ed18de,fluctuating,consistent
88d72185,NA,NA
8903d2ca,consistent,decreasing
89164b3b,depriving,fluctuating
898b4c7f,improving,fluctuating
89bdf640,NA,NA
8a15cf0e,NA,NA
8ab5f2c6,NA,NA
8b035700,improving,fluctuating
8b6a4fe3,NA,NA
8b9dc971,improving,consistent
8bdf61d2,depriving,fluctuating
8c185545,NA,NA
8c3a663d,fluctuating,NA
8c456bf2,improving,decreasing
8c7cc5c0,depriving,fluctuating
8c809688,NA,NA
8c88a5e7,NA,NA
8c918467,NA,NA
8cea2e90,improving,consistent
8cef621d,fluctuating,decreasing
8d8a407a,NA,NA
8e467404,NA,NA
8e70fdd9,improving,fluctuating
8ef6a9ea,NA,NA
8f0052be,fluctuating,fluctuating
8f147cfb,fluctuating,consistent
8f27ce38,NA,NA
8f3b97fb,fluctuating,fluctuating
8fe03154,NA,NA
8fe4d364,NA,NA
903f030b,consistent,increasing
90c4b9b3,fluctuating,consistent
90c9e37a,NA,NA
90f6014f,NA,NA
910d5b18,fluctuating,fluctuating
919655ad,NA,NA
91e7344e,NA,NA
932b8550,fluctuating,fluctuating
935ca72d,NA,fluctuating
936644ed,fluctuating,increasing
938dca7f,improving,fluctuating
948c737c,fluctuating,fluctuating
94995952,fluctuating,decreasing
949f38de,NA,NA
94c0914b,depriving,fluctuating
9571179e,fluctuating,decreasing
95b5fe53,fluctuating,fluctuating
95ba1a0d,fluctuating,decreasing
95d443df,fluctuating,fluctuating
9654f220,NA,NA
96ca0887,fluctuating,decreasing
96ce0f86,improving,decreasing
96e8e4a6,improving,fluctuating
971745a4,NA,NA
9734970a,improving,consistent
973d6f88,NA,NA
978d0e68,NA,NA
97a7203f,NA,NA
98332819,NA,NA
984c7343,improving,fluctuating
985f0c28,fluctuating,fluctuating
988f5480,fluctuating,fluctuating
99c1191d,NA,NA
9a2d8c3d,improving,fluctuating
9a2f2a7a,NA,NA
9ac6d434,NA,NA
9ad202c0,NA,NA
9b28533d,NA,NA
9b51bbb6,NA,NA
9b7c65d5,NA,consistent
9bca53c0,improving,decreasing
9bfad17e,NA,NA
9c50b488,NA,NA
9c8605b5,fluctuating,fluctuating
9c95d93a,NA,NA
9d3a3f65,fluctuating,decreasing
9e7369c9,improving,fluctuating
9f6b05ed,consistent,increasing
9fa4167c,NA,NA
9fbc27f5,fluctuating,fluctuating
a02793ed,NA,NA
a12205cf,fluctuating,fluctuating
a14fc386,fluctuating,fluctuating
a21a0e44,fluctuating,decreasing
a2275050,improving,fluctuating
a26fcfea,fluctuating,decreasing
a2ac7002,fluctuating,fluctuating
a2c79dc3,NA,fluctuating
a33dc265,consistent,decreasing
a3f22538,improving,NA
a4448666,NA,NA
a4721130,consistent,decreasing
a4c7e233,NA,NA
a4e7ce46,improving,decreasing
a4e9e3e9,NA,NA
a52c2ee6,NA,NA
a553983b,NA,NA
a5806ad3,NA,NA
a5bf5ba6,improving,fluctuating
a5e1cec7,fluctuating,consistent
a65528bf,fluctuating,decreasing
a7062a9e,NA,NA
a77cb282,consistent,fluctuating
a7fbe3f5,fluctuating,fluctuating
a8970c99,NA,NA
a94705a8,fluctuating,decreasing
a958f4c5,improving,consistent
a96729a8,fluctuating,increasing
aa31bcd8,NA,NA
aab8fe6a,NA,NA
ab11523d,NA,NA
ab3599f9,improving,increasing
aba50341,NA,NA
abc4d30e,NA,NA
aca8cf18,NA,NA
acc85119,fluctuating,increasing
ad472c2d,improving,decreasing
ad6b4799,NA,NA
ad73d99d,NA,NA
ad8b5547,depriving,consistent
adca2923,fluctuating,fluctuating
ae0d6fed,fluctuating,fluctuating
ae367a03,NA,NA
ae8a0784,NA,NA
aea8f093,fluctuating,consistent
af35a584,consistent,decreasing
b010078d,consistent,fluctuating
b0122b8f,fluctuating,fluctuating
b049f6f4,fluctuating,fluctuating
b04c6a48,fluctuating,decreasing
b0bb75ef,improving,consistent
b2881281,NA,NA
b2abb5cb,improving,consistent
b2e3b989,improving,decreasing
b34f618b,fluctuating,consistent
b39582ef,fluctuating,decreasing
b3bdced2,fluctuating,decreasing
b4662130,NA,NA
b4a61bfa,NA,fluctuating
b4dd98fd,NA,NA
b5450e79,fluctuating,consistent
b5cfec8d,fluctuating,fluctuating
b5db28d6,improving,consistent
b6056d93,improving,fluctuating
b612316e,NA,NA
b61685eb,improving,decreasing
b64f8e34,improving,consistent
b6789669,NA,decreasing
b68a3753,improving,decreasing
b698b712,improving,fluctuating
b72bab67,improving,decreasing
b807ae30,NA,NA
b82c3d0a,fluctuating,consistent
b878f49c,NA,decreasing
b89ced04,NA,NA
b8f6a693,NA,NA
b948eb7e,NA,decreasing
b9a8fc0d,depriving,consistent
b9ff07d3,fluctuating,decreasing
ba1fcb11,fluctuating,increasing
babc8caa,NA,NA
bb1b4eeb,fluctuating,fluctuating
bbce3ea4,fluctuating,fluctuating
bc372a14,consistent,fluctuating
bceb049f,NA,NA
bcf52581,improving,decreasing
bd17fde0,consistent,decreasing
bda2c3d0,fluctuating,decreasing
bdcee747,NA,NA
bdd6cbe2,NA,NA
bde4afb8,NA,NA
be79f2f3,NA,NA
be86f3dd,fluctuating,consistent
bec630b3,NA,NA
bef37417,NA,NA
bf3be739,improving,fluctuating
bfa32583,NA,NA
bfd9d3e3,NA,NA
bfdd6a45,fluctuating,decreasing
c01b3944,fluctuating,fluctuating
c07f2770,fluctuating,consistent
c081f607,fluctuating,NA
c1386a36,improving,decreasing
c14a5de7,NA,NA
c1bbc406,improving,decreasing
c1f2aa9c,NA,NA
c21109e8,NA,NA
c27f9879,NA,NA
c32fdee6,NA,NA
c33e22fc,consistent,decreasing
c34385e3,NA,NA
c432df50,improving,consistent
c46fa1ee,improving,fluctuating
c4b7a2f0,improving,decreasing
c52f791e,fluctuating,consistent
c57f0dc7,fluctuating,fluctuating
c59b9a3c,fluctuating,decreasing
c683bd3c,fluctuating,increasing
c6a3f8db,NA,NA
c6a720d1,NA,NA
c719116e,consistent,decreasing
c84a0712,improving,fluctuating
c8667d97,fluctuating,increasing
c8a01b0c,NA,NA
c8c72442,fluctuating,consistent
c8cdd6f8,NA,NA
c99e8e56,NA,NA
ca39439b,improving,decreasing
ca8be6c6,depriving,decreasing
caade62f,NA,NA
cb35f7cc,NA,NA
cb51624c,NA,NA
cc7076e1,consistent,fluctuating
cc73c2dc,NA,NA
cca2319b,NA,NA
cd1fc262,improving,fluctuating
cd6d7c07,NA,NA
cd8052bb,NA,NA
cdd3aded,NA,NA
cdf000d2,fluctuating,fluctuating
ce87c8bb,NA,NA
cf8a5129,NA,NA
cfa4cd1b,NA,NA
cfd00b1d,fluctuating,consistent
cfd9ec9f,fluctuating,decreasing
d010bb30,NA,NA
d0208cb7,fluctuating,consistent
d0787508,depriving,fluctuating
d0b7ac20,NA,NA
d117e23b,consistent,fluctuating
d1b5014b,fluctuating,consistent
d1c0dce4,NA,NA
d2465366,fluctuating,fluctuating
d2a5945d,depriving,increasing
d2b1080c,fluctuating,decreasing
d2e34a58,fluctuating,consistent
d2ebbe36,NA,NA
d2faf395,NA,decreasing
d34be643,NA,NA
d355f95d,improving,decreasing
d3ebdf47,improving,decreasing
d404a7b0,fluctuating,increasing
d41b721f,improving,fluctuating
d46cb66b,consistent,consistent
d4a874f2,improving,fluctuating
d4fcc811,NA,NA
d5349aad,NA,NA
d5da5870,NA,NA
d62ed989,fluctuating,fluctuating
d64dac0e,improving,decreasing
d659f01b,fluctuating,fluctuating
d6751665,improving,consistent
d6d91f20,depriving,increasing
d7222c42,fluctuating,fluctuating
d73907e9,fluctuating,fluctuating
d7aff13e,NA,NA
d80ca251,NA,fluctuating
d825612a,improving,fluctuating
d860d839,NA,NA
d8721135,improving,consistent
d8892cc8,fluctuating,fluctuating
d90bbaa0,depriving,fluctuating
d91e97fa,improving,decreasing
d9453d91,NA,NA
d986f537,consistent,consistent
d9b7307c,improving,fluctuating
d9c5480f,NA,consistent
d9dc2a8a,NA,NA
d9f91e90,fluctuating,fluctuating
da7e5e4d,NA,NA
daae47db,NA,NA
dac72d5b,NA,NA
dbc229bb,consistent,fluctuating
dbc8141b,NA,NA
dbef5037,fluctuating,decreasing
dc2bf4e8,improving,fluctuating
dc54adcf,improving,decreasing
dc5c6e44,NA,fluctuating
dc64eacc,fluctuating,fluctuating
dce17888,improving,increasing
dcfa6e80,consistent,consistent
dd07bdc3,consistent,fluctuating
dd21edee,improving,consistent
ddffdca5,depriving,decreasing
dea853a5,fluctuating,decreasing
df2c8c8d,improving,fluctuating
df5b3db6,depriving,decreasing
df69f893,fluctuating,increasing
df8cb25b,consistent,consistent
e0b5edd2,improving,fluctuating
e0c3376b,NA,NA
e1504783,fluctuating,fluctuating
e18d40cf,improving,decreasing
e2db916d,NA,NA
e2f2fb13,NA,NA
e333ab78,NA,NA
e3389222,fluctuating,fluctuating
e38567a0,improving,decreasing
e3a26552,fluctuating,consistent
e4181010,consistent,decreasing
e4e1cc53,improving,decreasing
e4e78641,fluctuating,decreasing
e51a835e,NA,NA
e5aeeab4,fluctuating,consistent
e5eaa80b,consistent,fluctuating
e68248f3,fluctuating,fluctuating
e6eecdea,consistent,fluctuating
e70933d6,NA,NA
e752842a,consistent,decreasing
e76fcd64,fluctuating,fluctuating
e7ad35e0,NA,NA
e7be4d33,fluctuating,fluctuating
e7c7df06,NA,NA
e7d970eb,improving,decreasing
e7dd0ee1,fluctuating,consistent
e84c1b4b,improving,decreasing
e85c9085,fluctuating,decreasing
e89552ae,NA,NA
e9167b03,NA,NA
e91eee51,NA,NA
e935e071,fluctuating,fluctuating
e9425377,NA,NA
e989e0b5,NA,NA
e9957f63,improving,fluctuating
e9a687cc,fluctuating,consistent
e9a8a304,NA,NA
e9c207fa,improving,decreasing
ea5db3e0,NA,NA
ea726ffe,NA,NA
eacc43f3,depriving,fluctuating
eb08c20f,NA,NA
eb19a9c6,NA,NA
ebd7902a,improving,consistent
ebec467b,fluctuating,decreasing
ec178d54,depriving,fluctuating
ec1a36e1,NA,NA
ec3e5274,NA,NA
ec9ba052,improving,decreasing
ec9db40c,NA,NA
ecd276ca,NA,NA
ecde5c00,NA,NA
ed0b4c8d,depriving,fluctuating
ed135e91,depriving,fluctuating
ed489bc9,improving,decreasing
ed49dc9b,consistent,increasing
ed6e242d,depriving,NA
edba0413,NA,NA
ee4dd603,fluctuating,fluctuating
ee732875,improving,decreasing
eebe1417,depriving,decreasing
ef911e84,fluctuating,fluctuating
efba9765,NA,consistent
f0859a57,NA,NA
f0909e8d,NA,NA
f0ec97f7,NA,NA
f110ea06,NA,NA
f16f7014,consistent,consistent
f19bbee5,fluctuating,fluctuating
f1bc606e,improving,decreasing
f1d55dae,improving,decreasing
f1d6fc6d,fluctuating,fluctuating
f251cf68,consistent,fluctuating
f2fc8592,fluctuating,increasing
f31caec6,NA,NA
f38e188d,NA,NA
f3b4cbbf,NA,NA
f3df1735,NA,NA
f416a43b,fluctuating,decreasing
f4b4d4b8,NA,NA
f5331d90,fluctuating,fluctuating
f5aa5237,fluctuating,fluctuating
f620fae1,fluctuating,decreasing
f657a54b,fluctuating,decreasing
f6ae6177,NA,NA
f7550897,fluctuating,consistent
f7d92978,NA,NA
f82642c2,consistent,consistent
f85bdc73,NA,NA
f907cc82,improving,consistent
f91b09b7,fluctuating,fluctuating
f94f4ece,consistent,decreasing
f95bde50,NA,NA
fa19ae23,NA,NA
fa542310,fluctuating,decreasing
fb1bed8b,improving,increasing
fbfcbeb3,improving,consistent
fc3d73a9,improving,decreasing
fc43c5f7,fluctuating,fluctuating
fc52fb4c,fluctuating,fluctuating
fd6e296c,improving,fluctuating
fd8c7e51,improving,fluctuating
fe16773a,NA,NA
fed95afe,NA,NA
fedf051c,depriving,increasing
ff16ea75,fluctuating,increasing
ff4d38e7,NA,NA
