ID,specifypositive_April2020,specifypositive_May2020,specifypositive_Nov2020,specifypositive_April2021
2174ee02,Reflection ,,,
22116d29,,,,
22164259,,less wasteful use of food and more cooking some online learning,,
225a659a,,,,"Hand washing,"
226ed101,I check up on others more.,Restricted movements and access to necessary supplies. Working from home.,,
2284c657,More time with husband as he's working from home,More family time,More family time,Family tine
22f3d6ea,People are happy to see others outside of their home. ,More exercise. People talk to each other more now,More time with my daughter,
2300b1bd,"Taking time for myself - doing yoga every day, having time to exercise, having time for hobbies, spending more time with my partner. Slowing down my pace of life.",A better work life balance. Exercising properly.,Learning more about technology both for my work and personal life. I have connected with people from my past more. I spent more time with my partner. For a part of lockdown I got into good exercise and health routines and felt quite relaxed knowing I didn't have to be anywhere. I've learned that I cope well in a crisis. It has given me perspective on what is important in life.,Saving more money. Investing money in the stock market when the market was low.
237c7b59,Getting through DIY projects faster!,Getting a lot of DIY projects done!,More time spent with my young children.,I've spent more time with my kids.
2398c075,Partner working from home with me,More time with partner,Partner able to work from home,partner working from home
23e438c1,"not as many people are on the roads, so it is easier to see the sky",I can spend more time with my family,Spend time with myself,I have been able to take more time for my mental health
23e7a43d,Routine,My wife now works from home,My wife works from  home,My wife now works from home
23ece7f0,,,,"Saving money and not drinking it away, and focusing more on myown health ie exerecising more"
242ac425,,,,Spending more time with my wife
243faab8,,,,
2476b761,,,,
2497ad73,Slower way of life and more time spent with my daughter.,I am able to work from home meaning I spend more time with my daughter and save on petrol money!,More time at home with my daughter and less time commuting.,More time with my daughter and a slower pace of life temporarily 
24a1c713,,"Online shopping, and more time with family",,
24d255ca,"More time with kids, no longer in a rush to be places, more home cooked meals",Not having to constantly be somewhere or run the kids somewhere.  More time with my family and we got a new puppy,Gotten more home projects completed due to staying home more,Since we were home a lot more we got some home projects completed.
24e1eecf,,,,
25c0f75a,more quality time with spouse and children,gardening more,"we bought a dog, spent more time with the kids",Increased walking and being outdoors
25c68ab5,,,,
261a38e5,,,,
2631d83f,,,,weight loss
263a2c2c,,,,
263f494e,,Spending time with my wife ,,
26ecfbc1,,,,
274e4c77,gardening more appreciation,GARDENING,,
275e1221,,,,
27cdd6cd,More time to spend with my child.,Been able to do more jobs at home,More time with my daughter due to lockdown,
28272f23,Looking after my physical health by exercising every day,More community spirit,Had more time to read and think about the priorities in my life.,"Focused more on exercise, had time to work on self improvement"
284d5d96,Exercising every day,More exercise,,Realised that I want to retire early. I have saved money
286feb36,Social distances,Time with kids,Income,Time
288671ff,exercising more,,Saving money,Work from home 
28bc0571,,More time with family,,closer to my child
293fceb8,More time indoors. Less travel.,"Reduced travel, social distancing, mask wearing",,
29405b3b,,,Staying at home more,
29407646,Extra time,,,
29482441,"eating healthier, worrying less,","eating less fast food, learning to live alone",learned to live alone more easily,More creative
296f010d,"More time with family, slowing down, enjoying the smallthinngs",More time with family,"Less planes, less traffic, longer maternity leave","Lest noise and air pollution, less crime,"
2977357f,,,,
29981f07,walking more even if its cold out.,Walking more. More time with my partner.,"Increased online contact with family. Extra time with people at home, one roommate moved out, making us more comfortable","renewed interest in diet and exercise as a family, niece moved out of our crowded home, talking more to family through skype"
29d12d37,,,,
2a0c577b,staying at home,,,holidays
2a64ed56,Better resourcefulness,Saving money on travel.,Better independence.,
2a78f623,,,,
2a7f767e,,more time with family,"more family time, focus on things of greater significance",More time to think about priorities in life vs obligations
2ab49ea2,,,,Work from home
2abbbb05,,,,I had time away from physical office
2add64ff,,,i get to spend mroe time with my family at home.,being able to spend more time with my family.
2b0efb64,Doing more gardening,,,
2b2234c8,,,,
2b25d06d,,,,My housemate moved out and I live alone now.
2b523899,,spending less money; appreciating the smaller things more,Got a cat,"We now have a cat, and I now get a weekly fruit and veg delivery"
2b774412,More time with partner.,More time with family.,,
2b9cf0e0,realized how short and precious life is from being stuck in.  have new goals and outlook,"i recieved 1200 bucks.  it's much easier to drive to stores because of so much less traffic, my wife has been able to avoid the commute to manhattan which is 90 minutes each way for the past month and work from home on staten island  i've saved money from going to restaurants and theater and movies etc.",saved money since entertainment venues were closed.,"Saved a lot of money, no stress from 90 minute commute each way."
2ba0afde,,My daughters are both at home - and I enjoy their company,I see my family more,more exercise
2c4a57bb,"More time with children, no commute","More reading, family meals together",Saved money on petrol not commuting,"More time with my family ,less commuting"
2c4abe56,time to explore home-based coping mechanisms,"made me explore hobbies, healthier coping mechanism",,
2cac210a,cannot go out,"cannot see mother, cannot sell flat",,Made more effort to keep in touch with friends
2d3a051f,"Sleeping more, drinking less, lost some weight, getting household projects finished, reading more","More sleep, better eating, less booze",Life is quieter and eating better,More sleep
2ddc8ddc,,,,More free time as I commute less
2df4aae7,More personal time to cook and craft.,More time for baking and crafts.,More time for hobbies,"More time with my dog, time for crafts, movies"
2e08f72a,,More time with kids,,
2e13ad11,,Cleaning,,
2e38d2fb,,,,
2edb5155,more aware of space,,Appreciate the smaller things,
2f57ca0b,,,,
2f9b5f6b,,,,
2fcd0362,,,,
2fe194fe,,,more focus on family,Got employed in a remote role
2fed5b4c,Connection with family over video calling to keep in contact,,,
303b4cdb,,,,Better air quality locally. Signed up for a new on-line supermarket
31046764,Spend more time with kids,,,More family time
31184573,,,,
315dfed8,,,,
31a9d554,"Gardening, closer to family",Working on house and garden,Hobbies and Jobs in house completed,
31cc4652,,,,
31def700,learned new hobbies,,,
31eded56,,,,
31f1a7ec,,,,
321ec88f,Increasing fitness levels,I have reached out to friends more,Saved money,It was more attainable to get better school grades due to online exams as opposed to in-person
32916d3e,,Shortage of some food,Exercise more,Exercise more to stay healthy
32be60c9,,,,
32e6764e,,,Opportunity for new job,Unemployment money let me take time off for myself when I first got laid off.
33476731,,,,
338a8cdf,I have had more time to work on improving our home and time for personal projects.,,,I had more time for myself since I had less meetings and hangouts to go to.
33a85942,,,,
33f32364,,,,Change job
33f561f5,,Not as much vandalism and youth crime,,
340aab4b,being able to work from home is preferable to commuting to an office.,Working from home,"Improved fitness levels, working from home is preferable to me.","I have saved a lot of money, I like the quiet and the clean air."
34261a8f,More time because I'm working from home and not commuting. More time to work on household projects.,More time for hobbies and house projects,"No commute, more time at home to relax and spend time with family.",I don't have to commute to work. I had time to relax and do other things.
35172774,,,,
356f9eed,"managed to get all the jobs done I needed to do, without interruptions.",Got all the jobs done I was planning over the next years.,stopped running a camera club. have not been mixing with model boat builders.,
358fa601,over 70 lockdown,permanent lockdown,,
35e1c8cb,,spending more time with family and speaking to them on the phone and video calling,keeping more in contact with friends and family. Spending more time at home with the family,"spending more time with the family, and less money spent on travelling to work"
35fca1dd,Reading more,,Less pressure to socialise,Parent teacher evenings - virtually is the way Girard both as a parent and as an educator
3609306f,drinking less alcohol and going to bed early,Less Alcohol consumption,No commuting; less socialising = less alcohol consumption; getting more sleep,drinking less alcohol and saving money
365f1487,Obsessive cleaning,,,
369adfe3,more free time time to exercise,more time to walk,More exercise and more relaxed,More exercise
36b6e112,Spending more time with my husband,"I have spent more time with my husband, enjoyed being at home more and not commuting. I have saved money as I am working from home and it has made me re-think my work life balance. I have also got a lot done in my house and garden.",Spending less time travelling. So more time at home with my partner,Better work life balance
36c6b336,,,,
36d95817,Walking out in the neighborhood more,Going outside to walk more.,,
37185d41,I was quarantined with a lot of friends in argentina and we had to take a repatriation flight home which cut our trip short but we all got a lot closer whilst there so I've improved friendships (i am now back home). Also have saved money as I would have been travelling if this hadn't happened,I was supposed to be in Argentina until July but being home will mean I get to spend my 21st birthday with my family. I am also taking the time out to work on my relationship with food and exercise so hopefully that will be a good thing to come out of it.,"I read a lot now, I've gotten into cycling, I got to spend lots of time with my family","I read more, I spend more time with my housemates (my best friends), I am more organised and on top of uni work"
375797f9,,Eating as a family,Walking much more,Fitter - more walking.  Decided to take early retirement.
37c67e61,,Social distancing,Education,
380490f8,Self introspection,looking inward for peace,we decided to take our money out of the IRA to pay off our mortgage,
38cd07a9,"Fresh air, fewer aeroplanes around",More time to learn new skills at home,More time for myself,"Deserved rest, I worked too long hours before it"
392e5153,,,have focused on learning new skills,
396c8773,Keeping away from others,"Not going out, shopping only occasionally",,
39a17ddc,,,,
39cf2916,,more time spent with family,,
39f89563,,,,I got a steady full time job.
3a053b3d,appreciate things i took for granted,,,
3a091643,,,spending more time at home due to working from home. More time for hobbies and family,working from home
3aafeb44,,,,
3b4446a8,,Grades are getting better because there is nothing else to do,I go to the gym more and spend less on takeout,
3b6630a4,,,more money,more cash
3be64045,,spending less money,,not having to commute
3bea2977,,Taken more time to do things I enjoy like art.,Money saving,Saving financially
3c1da5f4,,eating less/healthier,,
3c25e518,,,,
3c29df2b,increase thriftiness,only purchasing necessities,saving money,"more self-reliance, saving more money"
3c3ac29b,"I am not spending as much time with frienemies. So, I'm happier",I am not able to spend time with some of my more toxic frienemies.,"For a while, I was exercising and meditating more.",I meditate and exercise more.
3c8b4151,spending more time with my partner,learning to decorate,Saving money,
3ca7d091,"more aware of other peoples habits good and bad, made to appreciate family and friends",made to appreciate friends and family and speak to strangers and neighbours easier,,exercising more
3d04aeae,"I am making great strides with long-overdue projects at home. I think it is due to having no outside commitments or expectations or deadlines. There is no outside obligation requiring action from me. There is no opportunity to be evaluated or feel judged. It's as if the deadlines themselves were causing me to feel overwhelmed to the point of paralysis. Take away the deadlines and expectations (real and imagined) and I have been energized, inspired and motivated to finish tasks that have been screaming for attention for years. My home is finally getting the attention it needs and I can see the potential for vast improvements on day-to-day livability. My once beautiful outdoor respite has been a virtual junkyard for the last few years due to neglect. At the end of today, the garden path is cleared, Significant landscaping and structural improvements have been completed, over 350 loose bricks are being used by friends for a patio. Have you ever gathered, transported and delivered 350 bricks? I enclosed my laundry area so I have a mud room instead of an outside laundry area. Planning to finish the floor tonight. Hanging the door was a big hassle . . . AND, I have 2 pick-up truck loads of unusable trash ready to go PLUS enough unwanted clothes, toys and other items just waiting to be donated - at least 3 trips to the Salvation Army drop-off will be necessary. This is just the tip of the iceberg. All because I wasn't pressured to meet a deadline?!?",Getting stuff done around the house,fewer obligations less stress,"Reduced an enormous amount of day-to-day stress about scheduling appointments, meetings, interactions with people in general. My finances improved. I have caught up on a ton of projects around the house."
3d213353,diet less meat,,,
3d7847f0,,we stay at home,,the bus is full sometimes and I have to wait little more 
3d8ed21d,,,"Working from home permanently, saving money","More time for myself to rest and pursue hobbies, saving money"
3e0ab60a,,,,
3e108525,,,,
3e589dfe,,Gratitude,,
3ec823db,"Meditation, Reading, More exercise",Exercising Daily ,,I've worked out more
3ece9f35,,,,
3f1483ab,"My university tenancy was cancelled so I get to save £2,000",,,
3fa256f1,Practicing taking care of mental health more,healthier lifestyle,Focused on finishing up things that I had put off,
3fc20d94,,Better eating habits,,
3fe3190f,Exercise,Walking more,,
401bf43e,,Taking more exercise,Been walking more,
402291cc,,,,
4067ddbf,,"More time with my partner, saved more money",being able to work at home,"Spending more time at home with my partner, exploring the UK more as I haven't been on holiday"
407d7c2d,,,,
40a5b48a,,,,
40cfa1cd,,More time with family,,
40e3581d,,,,
40f2051c,,,,
411412ab,,more time to apply to internships,closeness to boyfriend,spending more time with boyfriend and spending more time outside
414ac45d,more quiet time,more aware,gradatude,Learning experience
4153e4fc,Sleeping better,I am sleeping more and seeing family more,Less stress at work,Less stress from work
41d9c94c,exercising more ,have saved some money,Ive been able to save more money since im not doing anything,Saved more money
425140a1,the nhs clap every week has brought members of the street together,Sense of community spirit with NHS clap every thursday,,spending more time outdoors and exploring the local area
426e8869,Exercise more; more time with family; saving money,"Exercising more, more time with children, getting more things done at home",more time with family; less time wasted commuting; less busy,better work options; more time with family
42ab587d,,,,
42b363fa,Becoming aware of support from neighbours who I didn't know very well,,,"I volunteered to help on a befriending phone line for elderly isolated people, which despite the the sadness was a positive experience, as I was able to support other people"
42b6e989,"Working from home, increased exercise, better diet",,,
43054002,,,,unemployment
431483bb,,,,
43293b0d,,,,New job i guess
433efcd5,,Ability to not feel guilty for not working. Time for self-reflection. ,,I got a job as a Contact Tracer
436e7d7f,"More time to working out, eating healthier due to not wanting to risk eating outside food",more time to exercise,more time to workout,
43b50ea0,"Better diet, better relationships, reduced traffic, reduced pollution","Better quality of meals, gardening, better interaction with neighbours",,
43b56906,No commuting to work,Working from home,Working from home,No commuting
43eb8a97,,,,
447a70ff,,Brought me closer to people,,checking in on family and neighbours
44814d65,I feel more productive being able to work from home.  More organised with food shopping.  Cooking healthier meals.,I prefer being able to work from home,,I have been able to save more money.  I prefer to work from home.
44a95b67,,,,
44f0f26b,I make the effort to get daily exercise. And I don't nip to the shops just to get chocolate.,Making more effort to do daily walk,Spending less. Doing more creative stuff. More determined to get fit.,I started to sell my art. I decided to become fit.
452f3372,Less people in the way,Spare time for artwork,Time to finish becoming a qualified yoga teacher,"Much more conscious ad passionate about the environment, saving money, making the most of time"
452ff3b0,,"More time to exercise, spending quality time with family",,Spent more time with the family
45b353f8,"More time with family, calls with parents, neighbours helping each other, messages with old friends",Time to focus on important things at work. Home schooling. Time with family. Relationship with parents better. Chat with friends.,"Less rushing around, more quality time with family, more focus on what's important",More time together as a family and new focus on what's important
45d2b470,,,,
463132d4,Better air quality due to less traffic,"more time with girlfriend, more consistent exercise regime",More time with my partner,
464cb70c,,,,
46f2a511,,,,
471a059e,Southside more time with my children,Spending more time with family,Spent admit more time with my children,Spent more time with my family
4749da47,,,,
47585c5a,,Reduced expectation of physical contact with other people,,
477c2103,people being drunk in the streets on a weekend,,,
479f72d8,,,,
47bcd953,,,,
47e24a3e,More time with family. Reduced spending habits.,More time with family as working from home. Better control of finances as not spending money in pubs & restaurants.,Spend less money. More time to spend with children due to homeworking.,More time with family as working from home. Less expenditure due to lockdowns.
480d25d5,,,,
4822c7f0,,,,
483be08c,more walks more time spent with children,more time with my immediate family,,My husband works from home and the children and I see him more. He is also less stressed and we do not have to pay for his train fare.
4873378a,,,The ability to save money and having increased leisure time,
4890ccdb,,"Exercise at home, more reading",Learned a new skill online,Learned a new skillset
48a7a6c9,,,,
48ad9e68,,spending more time with immediate family,,
48cee891,Spending more time with my wife,,,
494e53ff,,,,Stimulus checks
49c6201f,,,,
49cea068,,,,
4a27172f,,,,Spending more time with my elderly mother.
4a2ef326,,"Taken up a new hobby, brought community together",,Brought myself and my partner closer together.
4a32ff92,,,,"New job, recruitment process altered in my favour. Exams at university cancelled and replaced with more favourably essays, grades also boosted because of this"
4a7d842d,"Exercising  more, eating less snacks.","I have been exercising more, and eating better.  I have been gardening.",Self care has gotten better.,It has helped me change my focus.  Not being around a lot of people has given me a more positive perspective.  And I love having more time to myself to make crafts.
4a8874c4, More walks and more contact via video calls with friends and family ,Better relationships with family and less pollution outside. Better relationship with neighbours,"Spent more time with family, learnt to bake","Weight loss, healthier, more time with family"
4ac60e5c,working out more,"I have a more consistent schedule since I now work from home, such that I'm now able to consistently work out 3 days a week.","working out more frequently, more consistent work schedule","enjoying working from home, was able to create more stable routine due to staying at home all the time, reconnecting with friends/family with technology like Zoom."
4b195e5e,,,,
4b89c926,,,,
4c57626c,,,,
4c6b2ba6,More time with my kids,More time with my kids,I left a job because my income was reduced and ended up at a better job,"more time bonding with my kids, left job for a better one"
4c8cacd8,,,,
4ceb104f,More leisure time to focus on hobbies and self,"looking introspectively, having time to pursue hobbies","Outlook on life, developing hobbies, more time",
4d43988a,Myself and those close to me have taken time to re-assess things that are valued as important in our lives and prioritize what actually is and isn't,More time for self-reflection and evaluation of myself and what is important in my life. Thinking about how to improve myself so that I can be better prepared for potential future situations that can be similar or worse.,Working from home,Had time to reevaluate what is important in my life
4d6d0964,,,,
4dbe60ff,,,,
4e2344cd,Increased time with my wife,More time with my wife,More time with partner,
4e8da120,Just carrying out long overdue tasks,Given me the time to do things I wouldn't normally have been able to,,Not had a cold this year
4eb4dcde,More family time,My workplace is open to remote work,General closeness with immediate family members,More closeness with my children
