ID,specifypositive_April2020,specifypositive_May2020,specifypositive_Nov2020,specifypositive_April2021,Corpus,clean_text,char_len,word_len,containsJunkWord,dup_idx,similar_idx,dup_similar_idx,FINAL_CLUSTER_ID,Seed_Q1,Seed_Q2,Dist_to_Center,Cohesion,FREQ,COVERAGE
029e60cf,"More opportunities to try for a baby, being closer with family, movie nights","More sex, finish diy",,"More time with the family, time for DIY and gardening","More opportunities to try for a baby, being closer with family, movie nights. More sex, finish diy.  More time with the family, time for DIY and gardening",opportunity try baby close family movie nights sex finish diy time family time diy gardening,154,27,0,['029e60cf'],['029e60cf'],"('029e60cf',)",0,improve contact family friend time spend home get lot work do garden,less traffic time spend home result tidy house garden learn cook thing read time take immediate environment which somehow busy enjoy stop amd smell rose take thing less seriously try enjoy what front seek far away place,0.315,0.676,136,15.614236509758898
02ce3583,"more relaxation, more walking, more reading","more time to relax and indulge in reading, TV, gardening etc",,"MORE RELAXATION TIME, MORE WALKING IN THE OPEN AIR","more relaxation, more walking, more reading. more time to relax and indulge in reading, TV, gardening etc.  MORE RELAXATION TIME, MORE WALKING IN THE OPEN AIR",relaxation walk read time relax indulge read tv garden etc relaxation time walk open air,158,26,0,['02ce3583'],['02ce3583'],"('02ce3583',)",9,relaxation walk read time relax indulge read tv garden etc relaxation time walk open air,think quiet read meditation,0.132,0.707,8,0.9184845005740528
02f2e2f3,work from home,"work from home, boomer doomer",working from home,work from home,"work from home. work from home, boomer doomer. working from home. work from home",work home work home boomer doomer work home work home,80,14,0,['02f2e2f3'],['02f2e2f3'],"('02f2e2f3',)",10,really like work home spending time husband much less stress work love work home spending time husband save money by not commute,get work home like get work home .. work home love work home which love,0.309,0.747,7,0.8036739380022963
0307f96f,Being stronger as a family,More exercise,,,Being stronger as a family. More exercise.,strong family exercise,42,7,0,['0307f96f'],['0307f96f'],"('0307f96f',)",11,exercise spend time family make realise thing need change life become debt free,walk exercise less consumerism exercise spend less exercise outdoor feel able live slow pace life do not feel need many material possession,0.394,0.697,17,1.9517795637198623
033ab2b0,More connecting with family and friends via phone calls,calling family and friends more,,,More connecting with family and friends via phone calls. calling family and friends more.,connect family friend via phone call call family friend,89,14,0,['033ab2b0'],['033ab2b0'],"('033ab2b0',)",12,connection family video call keep contact,connect family friend via phone call call family friend,0.178,0.676,9,1.0332950631458093
03a9cf9a,spending more time with family at home,Community pulling together,,,spending more time with family at home. Community pulling together.,spend time family home community pull together,67,10,0,['03a9cf9a'],['03a9cf9a'],"('03a9cf9a',)",13,spend time family home community pull together,volunteer help community slow stay home,0.158,0.753,8,0.9184845005740528
03b74c83,,,,"stimulus payments, quitting drinking and exercise daily now","stimulus payments, quitting drinking and exercise daily now",stimulus payment quit drinking exercise daily,59,8,0,['03b74c83'],['03b74c83'],"('03b74c83',)",11,exercise spend time family make realise thing need change life become debt free,walk exercise less consumerism exercise spend less exercise outdoor feel able live slow pace life do not feel need many material possession,0.429,0.697,17,1.9517795637198623
03c42dd6,More time tl spend with family,Exercising more and eating more healthily. Sleeping better at night,I returned to study part time and also spend more time outdoors with my husband. My husband has lost weight too,More time with family. Cleared some debt and done work around the home.,More time tl spend with family. Exercising more and eating more healthily. Sleeping better at night. I returned to study part time and also spend more time outdoors with my husband. My husband has lost weight too. More time with family. Cleared some debt and done work around the home.,time tl spend family exercise eat healthily sleep well night return study part time also spend time outdoors husband husband lose weight time family clear debt do work around home,285,50,0,['03c42dd6'],"['03c42dd6', '05b7650a', '1ffc3964', 'e00deb2a', 'eb6f6fac']","('00769460', '01c706a7', '03c42dd6', '0483c23c', '05ac6d57', '05b27157', '05b7650a', '0b6ab69c', '0df8a425', '0f1a455c', '0fd5b77a', '112d9cb0', '12230669', '1bd369ff', '1e321ed5', '1f9f5f13', '1ffc3964', '2284c657', '28bc0571', '2add64ff', '2b774412', '31046764', '36b6e112', '39cf2916', '3a091643', '40cfa1cd', '4153e4fc', '426e8869', '452ff3b0', '48ad9e68', '4a8874c4', '52905e06', '6089cf25', '61011b9a', '61e9823c', '6244b533', '65424974', '65b49e68', '687d5890', '69519e9a', '6ad0d637', '6b93e5cd', '6f618d37', '6f64bafb', '70dd2716', '72bc0590', '73e01b6f', '79d3fffa', '7a3a4ddb', '7b787546', '7c443e77', '814f7512', '84027b54', '85faef55', '890a2b84', '896a1fe9', '8a1e5483', '8e697aac', '8f926fe6', '90a40bc7', '93a31630', '999245de', '99c5215c', '9dd3a83e', 'a0e741a4', 'a17f412a', 'a1ca12c2', 'ab4a29d7', 'ac03a50f', 'ae3b5411', 'b035d0f1', 'b1c7486f', 'b61bcee3', 'ba13f2c6', 'bd076d97', 'bef796a6', 'c04da2c5', 'c4782c12', 'c638999b', 'c7564bc3', 'ca69d4fa', 'cbf4ad35', 'd03282c8', 'd211aacf', 'd4bd0715', 'd7211e12', 'd747f918', 'd78fde5d', 'da252a67', 'ddab6104', 'ddba36c1', 'ddbfca35', 'df34ae7f', 'e00deb2a', 'e1b11a02', 'e29cef04', 'e3f28c63', 'e40000ec', 'e63e4dfb', 'e7102e13', 'eb6f6fac', 'ec55e6ce', 'ec8aab1c', 'f78de03a', 'f9968550', 'fab5c22d', 'ff29fe6a')",0,improve contact family friend time spend home get lot work do garden,less traffic time spend home result tidy house garden learn cook thing read time take immediate environment which somehow busy enjoy stop amd smell rose take thing less seriously try enjoy what front seek far away place,0.238,0.676,136,15.614236509758898
03d6be1a,Catching up on a backlog of tasks at home,,"More walks, and catching up on backlogs of chores and paperwork.","More and regular country walks, less distraction from things I want to do at home, decluttering, catching up on paperwork backlog, consciously improving relationshipsn","Catching up on a backlog of tasks at home.  More walks, and catching up on backlogs of chores and paperwork.. More and regular country walks, less distraction from things I want to do at home, decluttering, catching up on paperwork backlog, consciously improving relationshipsn",catch backlog task home walks catch backlogs chore paperwork .. regular country walk less distraction thing do home decluttere catch paperwork backlog consciously improve relationshipsn,277,44,0,['03d6be1a'],['03d6be1a'],"('03d6be1a',)",14,well community spirit people partnership improve life work relationship work home,bring family close well relationship kid much well balance work personal life workingfrom home time family time well wellbeing,0.311,0.72,10,1.148105625717566
0483c23c,"Increased time with family, reevaluate priorities",More time with immediate family and working out at home,More time together as a family,more time at home with family,"Increased time with family, reevaluate priorities. More time with immediate family and working out at home. More time together as a family. more time at home with family",increase time family reevaluate priority time immediate family work home time together family time home family,169,28,0,['0483c23c'],"['0483c23c', '73e01b6f', '99c5215c']","('00769460', '01c706a7', '03c42dd6', '0483c23c', '05ac6d57', '05b27157', '05b7650a', '0b6ab69c', '0df8a425', '0f1a455c', '0fd5b77a', '112d9cb0', '12230669', '1bd369ff', '1e321ed5', '1f9f5f13', '1ffc3964', '2284c657', '28bc0571', '2add64ff', '2b774412', '31046764', '36b6e112', '39cf2916', '3a091643', '40cfa1cd', '4153e4fc', '426e8869', '452ff3b0', '48ad9e68', '4a8874c4', '52905e06', '6089cf25', '61011b9a', '61e9823c', '6244b533', '65424974', '65b49e68', '687d5890', '69519e9a', '6ad0d637', '6b93e5cd', '6f618d37', '6f64bafb', '70dd2716', '72bc0590', '73e01b6f', '79d3fffa', '7a3a4ddb', '7b787546', '7c443e77', '814f7512', '84027b54', '85faef55', '890a2b84', '896a1fe9', '8a1e5483', '8e697aac', '8f926fe6', '90a40bc7', '93a31630', '999245de', '99c5215c', '9dd3a83e', 'a0e741a4', 'a17f412a', 'a1ca12c2', 'ab4a29d7', 'ac03a50f', 'ae3b5411', 'b035d0f1', 'b1c7486f', 'b61bcee3', 'ba13f2c6', 'bd076d97', 'bef796a6', 'c04da2c5', 'c4782c12', 'c638999b', 'c7564bc3', 'ca69d4fa', 'cbf4ad35', 'd03282c8', 'd211aacf', 'd4bd0715', 'd7211e12', 'd747f918', 'd78fde5d', 'da252a67', 'ddab6104', 'ddba36c1', 'ddbfca35', 'df34ae7f', 'e00deb2a', 'e1b11a02', 'e29cef04', 'e3f28c63', 'e40000ec', 'e63e4dfb', 'e7102e13', 'eb6f6fac', 'ec55e6ce', 'ec8aab1c', 'f78de03a', 'f9968550', 'fab5c22d', 'ff29fe6a')",0,improve contact family friend time spend home get lot work do garden,less traffic time spend home result tidy house garden learn cook thing read time take immediate environment which somehow busy enjoy stop amd smell rose take thing less seriously try enjoy what front seek far away place,0.238,0.676,136,15.614236509758898
052e6709,No commuting,,,,No commuting.,commute,13,2,0,"['052e6709', '9a4e4591']",['052e6709'],"('052e6709', '9a4e4591')",1,not commute work do not long commute anymore,commute,0.165,0.719,11,1.2629161882893227
0576642f,Working from home has greatly lowered work related stress,Working from home means i am less burnt out from work. I rest more and i exercise more,More rest during lockdown,More rest - working from home,Working from home has greatly lowered work related stress. Working from home means i am less burnt out from work. I rest more and i exercise more. More rest during lockdown. More rest - working from home,work home greatly lower work related stress work home mean less burn work rest exercise rest lockdown rest work home,203,37,0,['0576642f'],['0576642f'],"('0576642f',)",2,work home confine home spending less money save money long commute,work home work home home improvement do less commuting home work,0.333,0.73,28,3.214695752009185
05ac6d57,More time with children,More time with my children,More time with my children ,More time with my children,More time with children. More time with my children. More time with my children . More time with my children,time child time child time child time child,108,20,0,['05ac6d57'],"['05ac6d57', 'ec8aab1c']","('00769460', '01c706a7', '03c42dd6', '0483c23c', '05ac6d57', '05b27157', '05b7650a', '0b6ab69c', '0df8a425', '0f1a455c', '0fd5b77a', '112d9cb0', '12230669', '1bd369ff', '1e321ed5', '1f9f5f13', '1ffc3964', '2284c657', '28bc0571', '2add64ff', '2b774412', '31046764', '36b6e112', '39cf2916', '3a091643', '40cfa1cd', '4153e4fc', '426e8869', '452ff3b0', '48ad9e68', '4a8874c4', '52905e06', '6089cf25', '61011b9a', '61e9823c', '6244b533', '65424974', '65b49e68', '687d5890', '69519e9a', '6ad0d637', '6b93e5cd', '6f618d37', '6f64bafb', '70dd2716', '72bc0590', '73e01b6f', '79d3fffa', '7a3a4ddb', '7b787546', '7c443e77', '814f7512', '84027b54', '85faef55', '890a2b84', '896a1fe9', '8a1e5483', '8e697aac', '8f926fe6', '90a40bc7', '93a31630', '999245de', '99c5215c', '9dd3a83e', 'a0e741a4', 'a17f412a', 'a1ca12c2', 'ab4a29d7', 'ac03a50f', 'ae3b5411', 'b035d0f1', 'b1c7486f', 'b61bcee3', 'ba13f2c6', 'bd076d97', 'bef796a6', 'c04da2c5', 'c4782c12', 'c638999b', 'c7564bc3', 'ca69d4fa', 'cbf4ad35', 'd03282c8', 'd211aacf', 'd4bd0715', 'd7211e12', 'd747f918', 'd78fde5d', 'da252a67', 'ddab6104', 'ddba36c1', 'ddbfca35', 'df34ae7f', 'e00deb2a', 'e1b11a02', 'e29cef04', 'e3f28c63', 'e40000ec', 'e63e4dfb', 'e7102e13', 'eb6f6fac', 'ec55e6ce', 'ec8aab1c', 'f78de03a', 'f9968550', 'fab5c22d', 'ff29fe6a')",0,improve contact family friend time spend home get lot work do garden,less traffic time spend home result tidy house garden learn cook thing read time take immediate environment which somehow busy enjoy stop amd smell rose take thing less seriously try enjoy what front seek far away place,0.238,0.676,136,15.614236509758898
05b27157,I am spending more time with my partner and talking to friends and family over phone call.,"spending more time with immediate family, eating homemade healthy food, sleeping well and many more",got to spend quality time at home,I feel more productive working from home,"I am spending more time with my partner and talking to friends and family over phone call.. spending more time with immediate family, eating homemade healthy food, sleeping well and many more. got to spend quality time at home. I feel more productive working from home",spend time partner talk friend family phone call .. spend time immediate family eat homemade healthy food sleep well many got spend quality time home feel productive working home,268,46,0,['05b27157'],"['05b27157', '36b6e112', '70dd2716', 'da252a67', 'e29cef04']","('00769460', '01c706a7', '03c42dd6', '0483c23c', '05ac6d57', '05b27157', '05b7650a', '0b6ab69c', '0df8a425', '0f1a455c', '0fd5b77a', '112d9cb0', '12230669', '1bd369ff', '1e321ed5', '1f9f5f13', '1ffc3964', '2284c657', '28bc0571', '2add64ff', '2b774412', '31046764', '36b6e112', '39cf2916', '3a091643', '40cfa1cd', '4153e4fc', '426e8869', '452ff3b0', '48ad9e68', '4a8874c4', '52905e06', '6089cf25', '61011b9a', '61e9823c', '6244b533', '65424974', '65b49e68', '687d5890', '69519e9a', '6ad0d637', '6b93e5cd', '6f618d37', '6f64bafb', '70dd2716', '72bc0590', '73e01b6f', '79d3fffa', '7a3a4ddb', '7b787546', '7c443e77', '814f7512', '84027b54', '85faef55', '890a2b84', '896a1fe9', '8a1e5483', '8e697aac', '8f926fe6', '90a40bc7', '93a31630', '999245de', '99c5215c', '9dd3a83e', 'a0e741a4', 'a17f412a', 'a1ca12c2', 'ab4a29d7', 'ac03a50f', 'ae3b5411', 'b035d0f1', 'b1c7486f', 'b61bcee3', 'ba13f2c6', 'bd076d97', 'bef796a6', 'c04da2c5', 'c4782c12', 'c638999b', 'c7564bc3', 'ca69d4fa', 'cbf4ad35', 'd03282c8', 'd211aacf', 'd4bd0715', 'd7211e12', 'd747f918', 'd78fde5d', 'da252a67', 'ddab6104', 'ddba36c1', 'ddbfca35', 'df34ae7f', 'e00deb2a', 'e1b11a02', 'e29cef04', 'e3f28c63', 'e40000ec', 'e63e4dfb', 'e7102e13', 'eb6f6fac', 'ec55e6ce', 'ec8aab1c', 'f78de03a', 'f9968550', 'fab5c22d', 'ff29fe6a')",0,improve contact family friend time spend home get lot work do garden,less traffic time spend home result tidy house garden learn cook thing read time take immediate environment which somehow busy enjoy stop amd smell rose take thing less seriously try enjoy what front seek far away place,0.238,0.676,136,15.614236509758898
05b7650a,"Spending more time with family, less time driving and more time exercising","Eating more healthily, less food waste, more exercise ",Quality time with children and more time at my allotment,Focusing on the important aspects of life; increased time with children; more leisure time,"Spending more time with family, less time driving and more time exercising. Eating more healthily, less food waste, more exercise . Quality time with children and more time at my allotment. Focusing on the important aspects of life; increased time with children; more leisure time",spend time family less time drive time exercise eat healthily less food waste exercise quality time child time allotment focus important aspect life increase time child leisure time,280,45,0,['05b7650a'],"['03c42dd6', '05b7650a', '1ffc3964', 'e00deb2a', 'eb6f6fac']","('00769460', '01c706a7', '03c42dd6', '0483c23c', '05ac6d57', '05b27157', '05b7650a', '0b6ab69c', '0df8a425', '0f1a455c', '0fd5b77a', '112d9cb0', '12230669', '1bd369ff', '1e321ed5', '1f9f5f13', '1ffc3964', '2284c657', '28bc0571', '2add64ff', '2b774412', '31046764', '36b6e112', '39cf2916', '3a091643', '40cfa1cd', '4153e4fc', '426e8869', '452ff3b0', '48ad9e68', '4a8874c4', '52905e06', '6089cf25', '61011b9a', '61e9823c', '6244b533', '65424974', '65b49e68', '687d5890', '69519e9a', '6ad0d637', '6b93e5cd', '6f618d37', '6f64bafb', '70dd2716', '72bc0590', '73e01b6f', '79d3fffa', '7a3a4ddb', '7b787546', '7c443e77', '814f7512', '84027b54', '85faef55', '890a2b84', '896a1fe9', '8a1e5483', '8e697aac', '8f926fe6', '90a40bc7', '93a31630', '999245de', '99c5215c', '9dd3a83e', 'a0e741a4', 'a17f412a', 'a1ca12c2', 'ab4a29d7', 'ac03a50f', 'ae3b5411', 'b035d0f1', 'b1c7486f', 'b61bcee3', 'ba13f2c6', 'bd076d97', 'bef796a6', 'c04da2c5', 'c4782c12', 'c638999b', 'c7564bc3', 'ca69d4fa', 'cbf4ad35', 'd03282c8', 'd211aacf', 'd4bd0715', 'd7211e12', 'd747f918', 'd78fde5d', 'da252a67', 'ddab6104', 'ddba36c1', 'ddbfca35', 'df34ae7f', 'e00deb2a', 'e1b11a02', 'e29cef04', 'e3f28c63', 'e40000ec', 'e63e4dfb', 'e7102e13', 'eb6f6fac', 'ec55e6ce', 'ec8aab1c', 'f78de03a', 'f9968550', 'fab5c22d', 'ff29fe6a')",0,improve contact family friend time spend home get lot work do garden,less traffic time spend home result tidy house garden learn cook thing read time take immediate environment which somehow busy enjoy stop amd smell rose take thing less seriously try enjoy what front seek far away place,0.238,0.676,136,15.614236509758898
05d4d6c0,getting out to exercise with the children,,,,getting out to exercise with the children.,get exercise child,42,7,0,['05d4d6c0'],['05d4d6c0'],"('05d4d6c0',)",15,do exercise gardening activity exercise do exercise,get exercise child,0.235,0.767,4,0.4592422502870264
06b51bd6,I am enjoying not being at work (I am fortunatly being paid still),I am enjoying working from home and having more time for things i want to do,Nice to have time off work during the first lockdown. I liked the peacefulness of it.,"I have enjoyed not being in work so much, and having much less work. I have enjoyed the city being emptier and less cars.","I am enjoying not being at work (I am fortunatly being paid still). I am enjoying working from home and having more time for things i want to do. Nice to have time off work during the first lockdown. I liked the peacefulness of it.. I have enjoyed not being in work so much, and having much less work. I have enjoyed the city being emptier and less cars.",enjoy not work fortunatly pay still enjoy work home time thing do nice time work first lockdown like peacefulness .. enjoy not work much much less work enjoy city empty less car,354,69,0,['06b51bd6'],['06b51bd6'],"('06b51bd6',)",16,enjoy not work fortunatly pay still enjoy work home time thing do nice time work first lockdown like peacefulness .. enjoy not work much much less work enjoy city empty less car,work home not drive work not drive work hip feel almost normal less stressed not drive every day even though pay cut able save .. get privilege work home not put mileage car,0.157,0.684,8,0.9184845005740528
06b5f325,,,,Enrolled into masters,Enrolled into masters,enrol master,21,3,0,['06b5f325'],['06b5f325'],"('06b5f325',)",17,enrol master,enrol master,0.0,0.0,1,0.1148105625717566
06c3c1ed,helping others,community spirit and helping people I previously didn't know,opportunity to help in the community,,helping others. community spirit and helping people I previously didn't know. opportunity to help in the community.,help other community spirit help people previously not know opportunity help community,115,17,0,['06c3c1ed'],['06c3c1ed'],"('06c3c1ed',)",13,spend time family home community pull together,volunteer help community slow stay home,0.232,0.753,8,0.9184845005740528
06d753d5,"more time spent with family, no aircraft pollution","personal relationships, more organised",,,"more time spent with family, no aircraft pollution. personal relationships, more organised.",time spend family aircraft pollution personal relationship organise,91,12,0,['06d753d5'],['06d753d5'],"('06d753d5',)",3,time family slow enjoy smallthinng time family less plane less traffic long maternity leave lest noise air pollution less crime,slow way life time spend daughter .. able work home meaning spend time daughter save petrol money time home daughter less time commute .. time daughter slow pace life temporarily,0.255,0.769,11,1.2629161882893227
07842027,,less pollution and traffic,,,less pollution and traffic.,less pollution traffic,27,4,0,['07842027'],"['07842027', 'f8038007']","('07842027', 'f8038007')",18,low pollution low traffic wildlife .. reduce traffic well air quality low noise pollution,less pollution less pollution less income,0.187,0.82,8,0.9184845005740528
07c18654,Walking every day .cooking and eating I healthier,"Self isolation, shopping once every 14 days exercising 1hr per day",,More exercise,"Walking every day .cooking and eating I healthier. Self isolation, shopping once every 14 days exercising 1hr per day.  More exercise",walk every day .cooke eat healthy self isolation shop every 14 day exercise 1hr per day exercise,133,21,0,['07c18654'],"['07c18654', '0cf6d4d9', '401bf43e', '5965630a']","('07c18654', '0cf6d4d9', '114578a1', '1a7e3ece', '1d5f2287', '3fe3190f', '401bf43e', '5965630a', '5f0dc810', '63f030c8', '670a41e2', '7df82da0', '81ed0607', '9665642e', 'a443da96', 'b5cb55ee', 'b73f6dd8', 'c7b02690', 'c97a4889', 'cfc9506b', 'd013c445', 'd18a8a5f', 'd44a8505', 'f1570e37')",19,run lot usual .. time exercise time exercise,regular daily exercise,0.221,0.759,33,3.788748564867968
07dac8b9,,Reduced shopping opportunities so more making from what we have,Financial no holidays,Financial-no vacations,Reduced shopping opportunities so more making from what we have. Financial no holidays. Financial-no vacations,reduce shopping opportunity make what financial holiday financial vacation,110,15,0,['07dac8b9'],['07dac8b9'],"('07dac8b9',)",20,less expenditure shop locally time child improve community spirit improve financial situation due nursery closure mortgage holiday .. saving improve financial position,shop less due mother law beconig ill contracting covd wife her paretnst helping go march 2020,0.327,0.704,6,0.6888633754305397
