,ID,Corpus,clean_text,Topic,Probability
21,0576642f,Working from home has greatly lowered work related stress. Working from home means i am less burnt out from work. I rest more and i exercise more. More rest during lockdown. More rest - working from home,work home greatly lower work related stress work home mean less burn work rest exercise rest lockdown rest work home,5,1
22,05ac6d57,More time with children. More time with my children. More time with my children . More time with my children,time child time child time child time child,2,0.811500652
23,05b27157,"I am spending more time with my partner and talking to friends and family over phone call.. spending more time with immediate family, eating homemade healthy food, sleeping well and many more. got to spend quality time at home. I feel more productive working from home",spend time partner talk friend family phone call .. spend time immediate family eat homemade healthy food sleep well many got spend quality time home feel productive working home,-1,0
24,05b7650a,"Spending more time with family, less time driving and more time exercising. Eating more healthily, less food waste, more exercise . Quality time with children and more time at my allotment. Focusing on the important aspects of life; increased time with children; more leisure time",spend time family less time drive time exercise eat healthily less food waste exercise quality time child time allotment focus important aspect life increase time child leisure time,0,0.967618976
25,05d4d6c0,getting out to exercise with the children.,get exercise child,12,0.459809291
26,06b51bd6,"I am enjoying not being at work (I am fortunatly being paid still). I am enjoying working from home and having more time for things i want to do. Nice to have time off work during the first lockdown. I liked the peacefulness of it.. I have enjoyed not being in work so much, and having much less work. I have enjoyed the city being emptier and less cars.",enjoy not work fortunatly pay still enjoy work home time thing do nice time work first lockdown like peacefulness .. enjoy not work much much less work enjoy city empty less car,-1,0
27,06b5f325,Enrolled into masters,enrol master,-1,0
28,06c3c1ed,helping others. community spirit and helping people I previously didn't know. opportunity to help in the community.,help other community spirit help people previously not know opportunity help community,9,1
29,06d753d5,"more time spent with family, no aircraft pollution. personal relationships, more organised.",time spend family aircraft pollution personal relationship organise,1,0.944274103
30,7842027,less pollution and traffic.,less pollution traffic,3,1
31,07c18654,"Walking every day .cooking and eating I healthier. Self isolation, shopping once every 14 days exercising 1hr per day.  More exercise",walk every day .cooke eat healthy self isolation shop every 14 day exercise 1hr per day exercise,0,0.992097778
32,07dac8b9,Reduced shopping opportunities so more making from what we have. Financial no holidays. Financial-no vacations,reduce shopping opportunity make what financial holiday financial vacation,10,1
33,0868179b,Getting closer to my husband.,get close husband,1,0.624779134
34,093482f6,"Spending more time with family, saving money, feel less stressed. More walking and seeing friends. working from home, saving money, spending more time with my family",spend time family save money feel less stressed walk see friend work home save money spend time family,5,1
35,093a7c48,"More family time,getting more work done. More time with family . Opened my eyes to this huge scam. Meet new like minded people",family time get work do time family open eye huge scam meet new like minded people,-1,0
36,0974c46d,I can get food and necessities delivered to my home as long as I can pay for it and don't have to go out.,can get food necessity deliver home long can pay do not go,-1,0
37,09bb381d,More time for me.. Self-knowledge related. Selflearning and resilience,time .. self knowledge relate selflearne resilience,-1,0
38,09c5edc3,Doing more exercise. Learnt a new language.  New girlfriend,exercise learn new language new girlfriend,8,1
39,0a0f9b59,"Working from Home has reduced travel time and it's less stressful, and I can concentrate more. Working from Home, avoiding long hours in transportation. More time with my husband. Working from home is something that should be the norm. Working from home is better for my mental health. And less expensive",work home reduce travel time less stressful can concentrate work home avoid long hour transportation time husband work home something norm work home well mental health less expensive,5,1
40,0a4d3770,New friendships. More time with the children,new friendship time child,2,0.680833891
41,0a51425b,"Dinner at home. having my family together, and not travelling for work. Having my daughter home from college and making more meals together with my family",dinner home family together not travel work daughter home college make meal together family,1,0.510440832
42,0a82a29f,"Saving money, earning extra money with extra available time, working out and losing weight. Saving money, earning more money, working out more. More workouts, weight loss. weight loss, more workouts, healthy eating, saved a lot of money",save money earn extra money extra available time work lose weight save money earn money work workout weight loss weight loss workout healthy eat save lot money,0,0.910342976
43,0b437e1f,Got a pet. Literary programs are available online now. Moved to a better living situation.,get pet literary program available move well living situation,-1,0
44,0b6ab69c,"running more and reading a lot. More active, working on myself, more healthy. Made me open my eyes. New job where im really happy at",run read lot active work healthy make open eye new job where m really happy,0,0.980461376
45,0b70263c,"I was already socially isolated due to chronic illness, now that is the norm so I was already adapted and am not missing out on so many social events. Increased acceptance of socializing via video,  increased opportunity to work from home, healthier meals, more home cooking, slower paced life, delivery/takeout more available from most everywhere (these were all difficulties for me pre-pandemic due to disability)",already socially isolate due chronic illness norm already adapt not miss many social event increase acceptance socializing via video increase opportunity work home healthy meal home cook slow paced life delivery takeout available everywhere difficulty pre pandemic due disability,-1,0
46,0bc954cd,Working from home and confined at home. Spending less money. Saving money as no longer commuting.,work home confine home spending less money save money long commute,11,0.887410929
47,0cccf65d,Quite and less pollution. More time to complete DIY tasks.. Able to tackle some DIY at home.,quite less pollution time complete diy task .. able tackle diy home,-1,0
48,0cd23e27,less waste!.,less waste,-1,0
49,0cec7738,Doing more yoga practice at home.,yoga practice home,0,1
50,0cf6d4d9,I'm eating healthier and exercising more. I'm working out a lot more improving my fitness..,eat healthy exercise work lot improve fitness ..,0,1
51,0d4a1693,Havibg time to catch up on reading. More time to think and reclect.,havibg time catch reading time think reclect,8,0.632471814
52,0d635a37,"more conscience of being more sanitary.  Being more resourceful in finding alternative solutions to shopping, exercise",conscience sanitary resourceful find alternative solution shopping exercise,3,0.675293548
53,0df8a425,More time with family.,time family,2,0.844498478
54,0e66785e,"financial uncertainty. Gratitude for life. Time to stocktake and reprioritise. Improved relationships, better life balance",financial uncertainty gratitude life time stocktake reprioritise improve relationship well life balance,9,1
55,0e8ee643,"Sanitizing more, meditating often and eating better.. More meditation and exercise. Health, diet, working out. Better workout routine, diet, closer bonds to family members",sanitize meditate often eat well .. meditation exercise health diet work well workout routine diet close bond family member,-1,0
56,0ee3cf79,got out of debt.,get debt,-1,0
57,0f0b6317,more hygenic.,hygenic,-1,0
58,0f111ef3,Better work interactions.,well work interaction,-1,0
59,0f1a455c,"Connecting virtually with loved ones, more time at home to enjoy garden. More time with family and to exercise. Less commute, better work-life balance, more exercise. Less time spent commuting, more time exercising.",connect virtually love one time home enjoy garden time family exercise less commute well work life balance exercise less time spend commute time exercise,0,1
60,0f34108d,Relationship,relationship,1,1
61,0fd5b77a,More time with family. Spending more time with the whole family.  I have been luckily able to spend more time with the family.,time family spend time whole family luckily able spend time family,1,1
62,0fefd757,Greater telephone contact with family and friends.,great telephone contact family friend,6,0.856605217
63,1075c575,Increased income.,increase income,-1,0
64,1119cb1a,motivated to learn new things and cope without company.   dont spend so much money.,motivate learn new thing cope without company do nt spend much money,0,0.845517814
65,112d9cb0,more family time.,family time,2,1
66,11361af8,"With my child at home, I've found myself being more active. Spending more time with my child. I have been focusing on a healthier diet because of the extra time at home. It has motivated me to reevalute my physical and mental health and I have taken direct steps to improve both.",child home find active spending time child focus healthy diet extra time home motivate reevalute physical mental health take direct step improve,-1,0
67,114578a1,Exercise and weight loss. More exercise and healthier diet. Weight loss. Weight loss,exercise weight loss exercise healthy diet weight loss weight loss,-1,0
68,1175894c,More walking. Eating more vegetables.,walk eat vegetable,-1,0
69,121ecde4,"Spending more time together as a family doing fun thing like baking,playing games and doing some home schooling . Being at home homeschooling.  Out more walking",spend time together family fun thing like bake playing game home schooling home homeschooling walk,4,0.693898345
70,12230669,More family time.  spend more family time together now,family time spend family time together,1,0.855498411
71,123ca171,Now i dont need to go shopping like i always did before.,do nt need go shop like always,3,0.660729979
72,12ae38b3,Growing vegetables. An interest in gardening and growing my own food. Growing my own vegetables.,grow vegetable interest gardening grow food grow vegetable,-1,0
73,12f1d120,"Better communication and sense of support between myself, my mother, and my sister",well communication sense support mother sister,6,0.411960704
74,1350da71,more time at home.  More sleep. More me time,time home sleep time,2,0.733450935
75,13a0d4d9,"Walking more. LESS TRAFFIC, MORE ORGANISED SHOPPING.",walk less traffic organise shopping,3,0.686359425
76,148f41f5,"Neighbours are talking a lot more and checking if we all have everything we need (while maintaining distance). Less traffic, air feels cleaner.. I'm doing a lot more yoga. Closer to family",neighbour talk lot check everything need maintain distance less traffic air feel clean .. lot yoga close family,3,0.624628239
77,151dc4f1,full time employment. Full time employment for more than an year.,full time employment full time employment year,-1,0
78,153c0a3c,"More time to work at home because I'm not going anywhere at all. Able to train (running) more due to not commuting. Incredibly, during the shutdown I had time to resume running, and am back up to 30 miles per week.  Also, people are now focused on their health, so I'm selling large amounts of vitamins.. in 2020, due to distance learning, I had more time, and was able to get back to running 33 miles/week",time work home not go anywhere able train run due not commute incredibly shutdown time resume run back 30 mile per week also people focus their health sell large amount vitamin .. 2020 due distance learn time able get back run 33 mile week,0,0.971805926
79,1557d8f9,Fitness. Fitness,fitness fitness,12,1
80,15dd865d,Have loved in with parents. More time to spend with familiy. More time spent with family,loved parent time spend familiy time spend family,1,0.885856349
81,16942fae,"Empty roads, peace and quiet, no aeroplanes . Peace and quiet, less road traffic, families doing things together..",empty road peace quiet aeroplane peace quiet less road traffic familie thing together ..,3,1
82,16999d45,Cutting down on expenses . I spend less money now. I spend less money eating out.,cut expense spend less money spend less money eat,10,1
83,16e1b932,"Less pollution, seeing more wildlife. enjoying time at home. Been able to slow down and appreciate things I took for granted",less pollution see wildlife enjoy time home able slow appreciate thing took grant,3,0.774356167
84,16f0fd3d,More hand washing and awarenss of virus spread and how to avoid it.,hand washing awarens virus spread how avoid,13,1
85,170e73ea,"thinking, quiet, reading , meditation.",think quiet read meditation,-1,0
86,176486a2,"much slower pace of life. calmer. Less tired. Acceptance of doing less, and being introverted",much slow pace life calm less tired acceptance less introverted,-1,0
87,176c5c5b,"My husband has been gone during my maternity leave, so we have equal time with the baby. Saved some money, husband was home as well during maternity leave",husband go maternity leave equal time baby save money husband home well maternity leave,-1,0
88,176e04e7,I wouldn't have started at the career I'm at now (pharmacy technician) if not for COVID,would not start career pharmacy technician not covid,-1,0
89,1807dbc5,"There is more sense of community with people trying to help each other.. There seems to be a greater sense of community and a 'we're all in this together spirit'. Spent more time with my family, enjoyed more hobbies, I have spent less money. Financially better off",sense community people try help .. seem great sense community together spirit spend time family enjoy hobby spend less money financially well,9,1
90,195d6fcb,More frequent communication with my mother. Upcoming Stimulus payment. increasded communication with family members. Temporary housing became more available.. Improved income due to pandemic unemployment assistance and stimuluses. Possibilities for improved housing assistance.,frequent communication mother upcoming stimulus payment increasde communication family member temporary housing become available .. improved income due pandemic unemployment assistance stimulus possibility improve housing assistance,10,0.523666002
91,196d1e37,"Time for self-reflection and re-connectedness with the nature. reconnectedness with the nature, appreciation of life, more time for self-reflection, and avoiding overcrowded buses or trains when I had to commute to work. Appreciation of, and connectedness to nature. Appreciation of nature",time self reflection re connectedness nature reconnectedness nature appreciation life time self reflection avoid overcrowded bus train when commute work appreciation connectedness nature appreciation nature,-1,0
92,19c40738,"Exercising more, performing more personal tasks. More time to study course materials to learn something new.",exercise perform personal task time study course material learn something new,8,0.695442943
93,1a0b9af7,I am able to work from home which I find better than working from the office,able work home which find well working office,7,0.367131573
94,1a0d014a,"Started diet.  spending less, doing more activities like crafts, reading more. Cooking at home, cleaning, washing hands more, saving more",start diet spending less activity like craft read cook home clean wash hand save,0,1
95,1a541e3b,Working out at home and catching up with friends through video chat. More home workouts. family time. working from home,work home catch friend video chat home workout family time work home,7,0.484084616
96,1a725420,More time with my husband and time to spend with God. Spending more time with my husband. More time to think and process.. Deeper relationships,time husband time spend god spend time husband time think process .. deep relationship,1,1
97,1a7e3ece,MORE EXERCISE.,exercise,12,1
98,1ba01db0,"Taking things slower, time to pursue hobbies. slowed down.  Slowed down",take thing slow time pursue hobby slow slow,8,0.763056085
99,1bcac18d,"Time at home to catch up, speaking to friends I havent spoken to for a long time.  My partner lives in Manchester but was here when lockdown started so is still here. Getting lots done at home, my partner who lives in Manchester being here with me.",time home catch speak friend nt speak long time partner live manchester when lockdown started still get lot do home partner who live manchester,-1,0
100,1bd369ff,I get to spend more time with my family.  Spend time with family. more time with family,get spend time family spend time family time family,1,1
101,1cae16ed,Community spirit. Community spirit and better relationships with neighbours. Got fitter by working at at home and cooking more meals. Community spirit and relationship with my son,community spirit community spirit well relationship neighbour get fitter by work home cooking meal community spirit relationship son,9,1
102,1d3f0c91,"Reading more, learning Spanish, playing guitar. Being able to save money.",read learn spanish play guitar able save money,8,0.943377222
103,1d5f2287,More exercise etc.,exercise etc,12,1
104,1da9ec41,"More conscious of health and looking after myself with healthier diet and exercise. More community spirit with neighbours & walking more for my daily exercise. Increased exercise. More time with my husband, increased exercise, more community spirit on our street",conscious health look healthy diet exercise community spirit neighbour walk daily exercise increase exercise time husband increase exercise community spirit our street,0,0.903939659
105,1dc217e8,spending more time with family at home. spending more time with family at home. Not having to travel to work. Work life balance is better now that I work from home more. Less tarvelling time and at home when my daughter comes home from high school. We spend a lot more time as a family together too. I am able to work form home now providing a better work life balance,spend time family home spending time family home not travel work work life balance well work home less tarvelling time home when daughter come home high school spend lot time family together able work form home provide well work life balance,5,1
106,1deee505,"More exercise. More exercise, more community awareness. More exercise. I have exercised more",exercise exercise community awareness exercise exercise,12,1
107,1e321ed5,Time with family. More family time. more time with family.,time family family time time family,2,0.867798829
108,1e3689e3,Starting later in my job. Less pollution.  Quieter roads,start later job less pollution quiet road,3,1
109,1ef0a072,Less traffic . Less traffic!. Community spirit. Different view of life. Closer community.,less traffic less traffic community spirit different view life close community,3,0.85617585
110,1f12b27e,"Husband working from home, cooking more.",husband work home cook,7,0.367228063
111,1f4edae5,"Time to relax at home is a rare thing. More time at home. Working from home is better for my mental health and given me more time to focus on hobbies exercising and being healthier overall. Working from home so improved work life balance, happier, less anxious, less crowded trains",time relax home rare thing time home work home well mental health give time focus hobby exercise healthy overall work home improve work life balance happy less anxious less crowded train,5,1
112,1f923242,"Working from home. Working from home, more rested. Better work life balance due to less commuting. Shorter commute time",work home work home rest well work life balance due less commuting short commute time,11,1
113,1f9f5f13,Family time. spending time with family. Working from home. Quality time with child,family time spending time family work home quality time child,4,0.753228961
114,1ffc3964,More physical excercise. Taking more physical excersise and talking more and spending more time with my spouse.. Spent quality time with my wife while on furlough which seemed to bring us closer psychologically.,physical excercise take physical excersise talk spending time spouse .. spend quality time wife furlough which seemed bring we close psychologically,0,1
115,2048f258,Need to be careful not to be near anyone. Only shop 1 time a week. cannot go out.. Have to take extra care working and must be shielded at all times. a  different way of working and shopping,need careful not near anyone shop 1 time week can not go .. take extra care working must shield time different way work shopping,-1,0
116,2075eb1f,"Spending far less money on entertainment and petrol.. I've drank less alcohol, spent more time with family.. Financially better off, due to lockdown.. I have got fitter and lost weight during the pandemic.",spend far less money entertainment petrol .. drank less alcohol spend time family .. financially well due lockdown .. got fitter lose weight pandemic,0,0.8388928
117,208bff0a,time for family at home. ale to focus on family not work during bereavement due to cancer. had more time with my spouse. Time to care for my bereaved parent,time family home ale focus family not work bereavement due cancer time spouse time care bereaved parent,2,0.947090165
118,20cbee08,making more money. making more money.,make money make money,-1,0
119,20d0e09d,My road has a WhatsApp group chat so everyone is more friendly towards each other. I won't take people and events for granted.  More of a work-life balance,road whatsapp group chat everyone friendly towards will not take people event grant work life balance,9,0.841407157
120,216852a2,Not having to commute to work. I don't have a long commute anymore.,not commute work do not long commute anymore,11,1
121,2174ee02,Reflection .,reflection,-1,0
122,22164259,less wasteful use of food and more cooking some online learning.,less wasteful use food cooking learn,1,1
123,225a659a,"Hand washing,",hand washing,13,1
124,226ed101,I check up on others more.. Restricted movements and access to necessary supplies. Working from home..,check other .. restrict movement access necessary supply work home ..,11,0.904614823
125,2284c657,More time with husband as he's working from home. More family time. More family time. Family tine,time husband work home family time family time family tine,2,0.969882244
126,22f3d6ea,People are happy to see others outside of their home. . More exercise. People talk to each other more now. More time with my daughter.,people happy see other outside their home exercise people talk time daughter,-1,0
127,2300b1bd,"Taking time for myself - doing yoga every day, having time to exercise, having time for hobbies, spending more time with my partner. Slowing down my pace of life.. A better work life balance. Exercising properly.. Learning more about technology both for my work and personal life. I have connected with people from my past more. I spent more time with my partner. For a part of lockdown I got into good exercise and health routines and felt quite relaxed knowing I didn't have to be anywhere. I've learned that I cope well in a crisis. It has given me perspective on what is important in life.. Saving more money. Investing money in the stock market when the market was low.",take time yoga every day time exercise time hobby spend time partner slow pace life .. well work life balance exercise properly .. learn technology work personal life connect people past spend time partner part lockdown get good exercise health routine feel quite relaxed know not anywhere learn cope well crisis give perspective what important life .. save money invest money stock market when market low,0,1
128,237c7b59,Getting through DIY projects faster!. Getting a lot of DIY projects done!. More time spent with my young children.. I've spent more time with my kids.,get diy project fast get lot diy project do time spend young child .. spend time kid,-1,0
129,2398c075,Partner working from home with me. More time with partner. Partner able to work from home. partner working from home,partner work home time partner partner able work home partner work home,-1,0
130,23e438c1,"not as many people are on the roads, so it is easier to see the sky. I can spend more time with my family. Spend time with myself. I have been able to take more time for my mental health",not many people road easy see sky can spend time family spend time able take time mental health,1,0.976296719
131,23e7a43d,Routine. My wife now works from home. My wife works from  home. My wife now works from home,routine wife work home wife work home wife work home,7,0.861328414
132,23ece7f0,"Saving money and not drinking it away, and focusing more on myown health ie exerecising more",save money not drink away focus myown health ie exerecising,-1,0
133,242ac425,Spending more time with my wife,spend time wife,1,1
134,2497ad73,Slower way of life and more time spent with my daughter.. I am able to work from home meaning I spend more time with my daughter and save on petrol money!. More time at home with my daughter and less time commuting.. More time with my daughter and a slower pace of life temporarily,slow way life time spend daughter .. able work home meaning spend time daughter save petrol money time home daughter less time commute .. time daughter slow pace life temporarily,4,0.885629881
135,24a1c713,"Online shopping, and more time with family.",shop time family,2,0.780310976
136,24d255ca,"More time with kids, no longer in a rush to be places, more home cooked meals. Not having to constantly be somewhere or run the kids somewhere.  More time with my family and we got a new puppy. Gotten more home projects completed due to staying home more. Since we were home a lot more we got some home projects completed.",time kid long rush place home cooked meal not constantly somewhere run kid somewhere time family get new puppy get home project complete due staying home since home lot get home project complete,-1,0
137,25c0f75a,"more quality time with spouse and children. gardening more. we bought a dog, spent more time with the kids. Increased walking and being outdoors",quality time spouse child gardening buy dog spend time kid increase walk outdoors,-1,0
138,2631d83f,weight loss,weight loss,0,1
139,263f494e,Spending time with my wife .,spend time wife,1,1
140,274e4c77,gardening more appreciation. GARDENING.,gardening appreciation gardening,-1,0
141,27cdd6cd,More time to spend with my child.. Been able to do more jobs at home. More time with my daughter due to lockdown.,time spend child .. able do job home time daughter due lockdown,4,0.818548162
142,28272f23,"Looking after my physical health by exercising every day. More community spirit. Had more time to read and think about the priorities in my life.. Focused more on exercise, had time to work on self improvement",look physical health by exercise every day community spirit time read think priority life .. focus exercise time work self improvement,0,1
143,284d5d96,Exercising every day. More exercise.  Realised that I want to retire early. I have saved money,exercise every day exercise realise retire early save money,0,0.848962638
144,286feb36,Social distances. Time with kids. Income. Time,social distance time kid income time,4,0.765286452
145,288671ff,exercising more.  Saving money. Work from home,exercise save money work home,0,0.837558275
146,28bc0571,More time with family.  closer to my child,time family close child,-1,0
147,293fceb8,"More time indoors. Less travel.. Reduced travel, social distancing, mask wearing.",time indoor less travel .. reduced travel social distance mask wear,-1,0
148,29405b3b,Staying at home more.,stay home,7,0.554397932
149,29407646,Extra time.,extra time,2,0.943611563
150,29482441,"eating healthier, worrying less,. eating less fast food, learning to live alone. learned to live alone more easily. More creative",eat healthy worry less eat less fast food learn live alone learn live alone easily creative,0,1
151,296f010d,"More time with family, slowing down, enjoying the smallthinngs. More time with family. Less planes, less traffic, longer maternity leave. Lest noise and air pollution, less crime,",time family slow enjoy smallthinng time family less plane less traffic long maternity leave lest noise air pollution less crime,1,0.576359258
152,29981f07,"walking more even if its cold out.. Walking more. More time with my partner.. Increased online contact with family. Extra time with people at home, one roommate moved out, making us more comfortable. renewed interest in diet and exercise as a family, niece moved out of our crowded home, talking more to family through skype",walk even cold .. walk time partner .. increase contact family extra time people home one roommate move make we comfortable renew interest diet exercise family niece move our crowded home talk family skype,0,0.986530291
153,2a0c577b,staying at home.   holidays,stay home holiday,7,0.477804092
154,2a64ed56,Better resourcefulness. Saving money on travel.. Better independence..,well resourcefulness save money travel .. well independence ..,-1,0
155,2a7f767e,"more time with family. more family time, focus on things of greater significance. More time to think about priorities in life vs obligations",time family family time focus thing great significance time think priority life vs obligation,-1,0
156,2ab49ea2,Work from home,work home,7,1
157,2abbbb05,I had time away from physical office,time away physical office,2,1
158,2add64ff,i get to spend mroe time with my family at home.. being able to spend more time with my family.,get spend mroe time family home .. able spend time family,1,1
159,2b0efb64,Doing more gardening.,garden,-1,0
160,2b25d06d,My housemate moved out and I live alone now.,housemate move live alone,7,0.895358055
161,2b523899,"spending less money; appreciating the smaller things more. Got a cat. We now have a cat, and I now get a weekly fruit and veg delivery",spend less money appreciate small thing get cat cat get weekly fruit veg delivery,-1,0
162,2b774412,More time with partner.. More time with family..,time partner .. time family ..,2,0.734304782
163,2b9cf0e0,"realized how short and precious life is from being stuck in.  have new goals and outlook. i recieved 1200 bucks.  it's much easier to drive to stores because of so much less traffic, my wife has been able to avoid the commute to manhattan which is 90 minutes each way for the past month and work from home on staten island  i've saved money from going to restaurants and theater and movies etc.. saved money since entertainment venues were closed.. Saved a lot of money, no stress from 90 minute commute each way.",realize how short precious life stick new goal outlook recieve 1200 buck much easy drive store much less traffic wife able avoid commute manhattan which 90 minute way past month work home staten island save money go restaurant theater movie etc .. save money since entertainment venue close .. save lot money stress 90 minute commute way,-1,0
164,2ba0afde,My daughters are both at home - and I enjoy their company. I see my family more. more exercise,daughter home enjoy their company see family exercise,-1,0
165,2c4a57bb,"More time with children, no commute. More reading, family meals together. Saved money on petrol not commuting. More time with my family ,less commuting",time child commute read family meal together save money petrol not commute time family less commute,-1,0
166,2c4abe56,"time to explore home-based coping mechanisms. made me explore hobbies, healthier coping mechanism.",time explore home base cope mechanism make explore hobby healthy cope mechanism,8,0.763056085
167,2cac210a,"cannot go out. cannot see mother, cannot sell flat.  Made more effort to keep in touch with friends",can not go can not see mother can not sell flat make effort keep touch friend,6,0.446162511
168,2d3a051f,"Sleeping more, drinking less, lost some weight, getting household projects finished, reading more. More sleep, better eating, less booze. Life is quieter and eating better. More sleep",sleep drink less lose weight get household project finish read sleep well eat less booze life quieter eat well sleep,0,0.930694112
169,2ddc8ddc,More free time as I commute less,free time commute less,11,1
170,2df4aae7,"More personal time to cook and craft.. More time for baking and crafts.. More time for hobbies. More time with my dog, time for crafts, movies",personal time cook craft .. time baking craft .. time hobby time dog time craft movie,-1,0
171,2e08f72a,More time with kids.,time kid,2,0.686003192
172,2e13ad11,Cleaning.,clean,-1,0
173,2edb5155,more aware of space.  Appreciate the smaller things.,aware space appreciate small thing,9,1
174,2fe194fe,more focus on family. Got employed in a remote role,focus family got employ remote role,-1,0
175,2fed5b4c,Connection with family over video calling to keep in contact.,connection family video call keep contact,6,1
176,303b4cdb,Better air quality locally. Signed up for a new on-line supermarket,well air quality locally sign new line supermarket,3,0.865979733
177,31046764,Spend more time with kids.   More family time,spend time kid family time,4,1
178,31a9d554,"Gardening, closer to family. Working on house and garden. Hobbies and Jobs in house completed.",garden close family working house garden hobby job house complete,-1,0
179,31def700,learned new hobbies.,learn new hobby,8,0.763056085
180,321ec88f,Increasing fitness levels. I have reached out to friends more. Saved money. It was more attainable to get better school grades due to online exams as opposed to in-person,increase fitness level reach friend save money attainable get well school grade due exam oppose person,0,0.985458127
181,32916d3e,Shortage of some food. Exercise more. Exercise more to stay healthy,shortage food exercise exercise stay healthy,0,1
182,32e6764e,Opportunity for new job. Unemployment money let me take time off for myself when I first got laid off.,opportunity new job unemployment money let take time when first got lay,7,0.289428676
183,338a8cdf,I have had more time to work on improving our home and time for personal projects..   I had more time for myself since I had less meetings and hangouts to go to.,time work improve our home time personal project .. time since less meeting hangout go,-1,0
184,33f32364,Change job,change job,7,0.367131573
185,33f561f5,Not as much vandalism and youth crime.,not much vandalism youth crime,-1,0
186,340aab4b,"being able to work from home is preferable to commuting to an office.. Working from home. Improved fitness levels, working from home is preferable to me.. I have saved a lot of money, I like the quiet and the clean air.",able work home preferable commuting office .. work home improve fitness level work home preferable .. save lot money like quiet clean air,-1,0
187,34261a8f,"More time because I'm working from home and not commuting. More time to work on household projects.. More time for hobbies and house projects. No commute, more time at home to relax and spend time with family.. I don't have to commute to work. I had time to relax and do other things.",time work home not commute time work household project .. time hobbie house project commute time home relax spend time family .. do not commute work time relax do thing,5,0.990032607
188,356f9eed,"managed to get all the jobs done I needed to do, without interruptions.. Got all the jobs done I was planning over the next years.. stopped running a camera club. have not been mixing with model boat builders..",manage get job do need do without interruption .. get job do plan next year .. stop run camera club not mix model boat builder ..,-1,0
189,358fa601,over 70 lockdown. permanent lockdown.,70 lockdown permanent lockdown,-1,0
